site_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
19,6,7,0,0,0,0,1,2,0,0,1,2,3,4,0,0,0,1,0,0,1,2,3,0,1,2,0,1,0,1,2,3,,,,,,,,,,,,,,,,,,,
37,0,1,0,1,0,1,0,0,0,1,0,0,1,2,0,0,1,2,3,4,5,6,0,0,0,0,0,0,0,0,1,0,1,2,3,4,5,6,0,1,2,3,4,,,,,,,,
38,0,1,2,3,4,5,6,7,0,0,0,0,1,2,0,0,1,2,3,4,0,0,0,1,0,0,1,2,3,0,1,,,,,,,,,,,,,,,,,,,,
39,5,6,7,8,9,10,11,12,13,14,0,1,2,3,4,5,6,7,8,0,0,1,2,3,0,1,2,3,4,5,6,7,8,9,10,0,,,,,,,,,,,,,,,
40,5,6,0,1,2,3,4,5,6,7,0,0,0,0,1,2,0,0,1,2,3,4,0,0,0,1,0,0,1,2,3,0,1,,,,,,,,,,,,,,,,,,
41,0,1,2,0,0,1,2,3,4,0,0,0,1,0,0,1,2,3,0,1,2,0,1,0,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,,
43,3,4,5,6,7,8,9,10,11,12,13,14,0,1,2,3,4,5,6,7,8,0,0,1,2,3,0,1,2,3,4,5,6,7,8,9,10,0,1,0,1,0,1,0,,,,,,,
44,2,3,4,5,6,0,1,2,3,4,5,6,7,0,0,0,0,1,2,0,0,1,2,3,4,0,0,0,1,0,0,1,2,3,0,1,,,,,,,,,,,,,,,
45,2,3,4,5,6,0,1,2,3,4,5,6,7,0,0,0,0,1,2,0,0,1,2,3,4,0,0,0,1,0,0,1,2,3,0,1,,,,,,,,,,,,,,,
49,4,5,6,7,8,9,10,11,12,13,14,0,1,2,3,4,5,6,7,8,0,0,1,2,3,0,1,2,3,4,,,,,,,,,,,,,,,,,,,,,
59,13,14,0,1,2,3,4,5,6,7,8,0,0,1,2,3,0,1,2,3,4,5,6,7,8,9,10,0,1,0,1,0,1,0,0,0,1,0,0,1,2,0,0,1,,,,,,,
60,2,3,4,5,6,0,1,2,3,4,5,6,7,0,0,0,0,1,2,0,0,1,2,3,4,0,0,0,1,0,0,1,2,3,0,1,,,,,,,,,,,,,,,
61,0,0,0,0,0,0,0,0,1,0,1,2,3,4,5,6,0,1,2,3,4,5,6,7,0,0,0,0,1,2,0,0,1,2,3,4,0,0,0,1,0,0,1,2,3,0,1,,,,
62,0,0,0,1,2,0,0,1,2,3,4,0,0,0,1,0,0,1,2,3,0,1,2,0,1,0,1,2,3,4,5,6,7,8,9,0,,,,,,,,,,,,,,,
63,13,14,0,1,2,3,4,5,6,7,8,0,0,1,2,3,0,1,2,3,4,5,6,7,8,9,10,0,1,0,1,0,1,0,0,0,1,0,0,1,2,0,0,1,,,,,,,
64,5,6,7,8,9,10,0,1,0,1,0,1,0,0,0,1,0,0,1,2,0,0,1,2,3,4,5,6,0,0,0,0,0,0,0,0,1,0,1,2,,,,,,,,,,,
65,0,1,2,3,4,5,6,7,8,9,10,0,1,0,1,0,1,0,0,0,1,0,0,1,2,0,0,1,2,3,4,5,6,0,0,0,0,0,0,0,0,,,,,,,,,,
