site_number,camera_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
19,33,41.33333333,62.875,53.70833333,34.75,48.125,61.70833333,46.91666667,32.83333333,40.83333333,42.875,34.83333333,30.91666667,26.41666667,26.41666667,30.625,45.29166667,49.16666667,42.04166667,56.08333333,82.83333333,68.20833333,64.25,77.79166667,66.70833333,51.41666667,69.58333333,63.95833333,57.58333333,77,62.79166667,60.91666667,45.625,,,,,,,,,,,,,,,,,,,
37,9,38.16666667,42.25,58.29166667,38.58333333,47.25,59.33333333,55.79166667,58.79166667,45.375,32.125,67.20833333,51.58333333,26.58333333,66.125,58.91666667,53.45833333,39.79166667,29.29166667,27.33333333,26.70833333,24.16666667,22.79166667,53.29166667,64.70833333,51.20833333,54.95833333,76.41666667,79.04166667,59.625,52.20833333,46.29166667,54.58333333,53.875,45.79166667,36.125,35.33333333,31.33333333,36.16666667,59.75,56.95833333,53.16666667,42.20833333,34.875,,,,,,,,
38,29,59.75,56.95833333,53.16666667,42.20833333,34.875,28.54166667,41.33333333,62.875,53.70833333,34.75,48.125,61.70833333,46.91666667,32.83333333,40.83333333,42.875,34.83333333,30.91666667,26.41666667,26.41666667,30.625,45.29166667,49.16666667,42.04166667,56.08333333,82.83333333,68.20833333,64.25,77.79166667,66.70833333,51.41666667,,,,,,,,,,,,,,,,,,,,
39,27,18.70833333,29.70833333,8.5,9.958333333,10.33333333,18.375,14.75,19,64,32.29166667,52.25,56.29166667,23.33333333,9.875,16.25,33.375,18.08333333,31.54166667,22.54166667,52.125,75.66666667,47.5,33.16666667,18.45833333,40.08333333,47.58333333,27.58333333,11.33333333,12.16666667,52.41666667,74.08333333,85.70833333,58.70833333,50.58333333,40.5,38.16666667,,,,,,,,,,,,,,,
40,50,31.33333333,36.16666667,59.75,56.95833333,53.16666667,42.20833333,34.875,28.54166667,41.33333333,62.875,53.70833333,34.75,48.125,61.70833333,46.91666667,32.83333333,40.83333333,42.875,34.83333333,30.91666667,26.41666667,26.41666667,30.625,45.29166667,49.16666667,42.04166667,56.08333333,82.83333333,68.20833333,64.25,77.79166667,66.70833333,51.41666667,,,,,,,,,,,,,,,,,,
41,12,61.70833333,46.91666667,32.83333333,40.83333333,42.875,34.83333333,30.91666667,26.41666667,26.41666667,30.625,45.29166667,49.16666667,42.04166667,56.08333333,82.83333333,68.20833333,64.25,77.79166667,66.70833333,51.41666667,69.58333333,63.95833333,57.58333333,77,62.79166667,60.91666667,45.625,32.29166667,27,32.375,22.375,23.20833333,25.33333333,,,,,,,,,,,,,,,,,,
43,11,15.66666667,13.375,18.70833333,29.70833333,8.5,9.958333333,10.33333333,18.375,14.75,19,64,32.29166667,52.25,56.29166667,23.33333333,9.875,16.25,33.375,18.08333333,31.54166667,22.54166667,52.125,75.66666667,47.5,33.16666667,18.45833333,40.08333333,47.58333333,27.58333333,11.33333333,12.16666667,52.41666667,74.08333333,85.70833333,58.70833333,50.58333333,40.5,38.16666667,42.25,58.29166667,38.58333333,47.25,59.33333333,55.79166667,,,,,,,
44,5,45.79166667,36.125,35.33333333,31.33333333,36.16666667,59.75,56.95833333,53.16666667,42.20833333,34.875,28.54166667,41.33333333,62.875,53.70833333,34.75,48.125,61.70833333,46.91666667,32.83333333,40.83333333,42.875,34.83333333,30.91666667,26.41666667,26.41666667,30.625,45.29166667,49.16666667,42.04166667,56.08333333,82.83333333,68.20833333,64.25,77.79166667,66.70833333,51.41666667,,,,,,,,,,,,,,,
45,4,45.79166667,36.125,35.33333333,31.33333333,36.16666667,59.75,56.95833333,53.16666667,42.20833333,34.875,28.54166667,41.33333333,62.875,53.70833333,34.75,48.125,61.70833333,46.91666667,32.83333333,40.83333333,42.875,34.83333333,30.91666667,26.41666667,26.41666667,30.625,45.29166667,49.16666667,42.04166667,56.08333333,82.83333333,68.20833333,64.25,77.79166667,66.70833333,51.41666667,,,,,,,,,,,,,,,
49,15,13.375,18.70833333,29.70833333,8.5,9.958333333,10.33333333,18.375,14.75,19,64,32.29166667,52.25,56.29166667,23.33333333,9.875,16.25,33.375,18.08333333,31.54166667,22.54166667,52.125,75.66666667,47.5,33.16666667,18.45833333,40.08333333,47.58333333,27.58333333,11.33333333,12.16666667,,,,,,,,,,,,,,,,,,,,,
59,30,64,32.29166667,52.25,56.29166667,23.33333333,9.875,16.25,33.375,18.08333333,31.54166667,22.54166667,52.125,75.66666667,47.5,33.16666667,18.45833333,40.08333333,47.58333333,27.58333333,11.33333333,12.16666667,52.41666667,74.08333333,85.70833333,58.70833333,50.58333333,40.5,38.16666667,42.25,58.29166667,38.58333333,47.25,59.33333333,55.79166667,58.79166667,45.375,32.125,67.20833333,51.58333333,26.58333333,66.125,58.91666667,53.45833333,39.79166667,,,,,,,
60,60,45.79166667,36.125,35.33333333,31.33333333,36.16666667,59.75,56.95833333,53.16666667,42.20833333,34.875,28.54166667,41.33333333,62.875,53.70833333,34.75,48.125,61.70833333,46.91666667,32.83333333,40.83333333,42.875,34.83333333,30.91666667,26.41666667,26.41666667,30.625,45.29166667,49.16666667,42.04166667,56.08333333,82.83333333,68.20833333,64.25,77.79166667,66.70833333,51.41666667,,,,,,,,,,,,,,,
61,28,53.29166667,64.70833333,51.20833333,54.95833333,76.41666667,79.04166667,59.625,52.20833333,46.29166667,54.58333333,53.875,45.79166667,36.125,35.33333333,31.33333333,36.16666667,59.75,56.95833333,53.16666667,42.20833333,34.875,28.54166667,41.33333333,62.875,53.70833333,34.75,48.125,61.70833333,46.91666667,32.83333333,40.83333333,42.875,34.83333333,30.91666667,26.41666667,26.41666667,30.625,45.29166667,49.16666667,42.04166667,56.08333333,82.83333333,68.20833333,64.25,77.79166667,66.70833333,51.41666667,,,,
62,21,34.75,48.125,61.70833333,46.91666667,32.83333333,40.83333333,42.875,34.83333333,30.91666667,26.41666667,26.41666667,30.625,45.29166667,49.16666667,42.04166667,56.08333333,82.83333333,68.20833333,64.25,77.79166667,66.70833333,51.41666667,69.58333333,63.95833333,57.58333333,77,62.79166667,60.91666667,45.625,32.29166667,27,32.375,22.375,23.20833333,25.33333333,51.25,,,,,,,,,,,,,,,
63,17,64,32.29166667,52.25,56.29166667,23.33333333,9.875,16.25,33.375,18.08333333,31.54166667,22.54166667,52.125,75.66666667,47.5,33.16666667,18.45833333,40.08333333,47.58333333,27.58333333,11.33333333,12.16666667,52.41666667,74.08333333,85.70833333,58.70833333,50.58333333,40.5,38.16666667,42.25,58.29166667,38.58333333,47.25,59.33333333,55.79166667,58.79166667,45.375,32.125,67.20833333,51.58333333,26.58333333,66.125,58.91666667,53.45833333,39.79166667,,,,,,,
64,15,52.41666667,74.08333333,85.70833333,58.70833333,50.58333333,40.5,38.16666667,42.25,58.29166667,38.58333333,47.25,59.33333333,55.79166667,58.79166667,45.375,32.125,67.20833333,51.58333333,26.58333333,66.125,58.91666667,53.45833333,39.79166667,29.29166667,27.33333333,26.70833333,24.16666667,22.79166667,53.29166667,64.70833333,51.20833333,54.95833333,76.41666667,79.04166667,59.625,52.20833333,46.29166667,54.58333333,53.875,45.79166667,,,,,,,,,,,
65,47,40.08333333,47.58333333,27.58333333,11.33333333,12.16666667,52.41666667,74.08333333,85.70833333,58.70833333,50.58333333,40.5,38.16666667,42.25,58.29166667,38.58333333,47.25,59.33333333,55.79166667,58.79166667,45.375,32.125,67.20833333,51.58333333,26.58333333,66.125,58.91666667,53.45833333,39.79166667,29.29166667,27.33333333,26.70833333,24.16666667,22.79166667,53.29166667,64.70833333,51.20833333,54.95833333,76.41666667,79.04166667,59.625,52.20833333,,,,,,,,,,
66,48,40.08333333,47.58333333,27.58333333,11.33333333,12.16666667,52.41666667,74.08333333,85.70833333,58.70833333,50.58333333,40.5,38.16666667,42.25,58.29166667,38.58333333,47.25,59.33333333,55.79166667,58.79166667,45.375,32.125,67.20833333,51.58333333,26.58333333,66.125,58.91666667,53.45833333,39.79166667,29.29166667,27.33333333,26.70833333,24.16666667,22.79166667,53.29166667,64.70833333,51.20833333,54.95833333,76.41666667,79.04166667,59.625,52.20833333,,,,,,,,,,
67,70,46.29166667,54.58333333,53.875,45.79166667,36.125,35.33333333,31.33333333,36.16666667,59.75,56.95833333,53.16666667,42.20833333,34.875,28.54166667,41.33333333,62.875,53.70833333,34.75,48.125,61.70833333,46.91666667,32.83333333,40.83333333,42.875,34.83333333,30.91666667,26.41666667,26.41666667,30.625,45.29166667,49.16666667,42.04166667,56.08333333,82.83333333,68.20833333,64.25,77.79166667,66.70833333,51.41666667,,,,,,,,,,,,
69,14,62.875,53.70833333,34.75,48.125,61.70833333,46.91666667,32.83333333,40.83333333,42.875,34.83333333,30.91666667,26.41666667,26.41666667,30.625,45.29166667,49.16666667,42.04166667,56.08333333,82.83333333,68.20833333,64.25,77.79166667,66.70833333,51.41666667,69.58333333,63.95833333,57.58333333,77,62.79166667,60.91666667,45.625,,,,,,,,,,,,,,,,,,,,
70,59,51.20833333,54.95833333,76.41666667,79.04166667,59.625,52.20833333,46.29166667,54.58333333,53.875,45.79166667,36.125,35.33333333,31.33333333,36.16666667,59.75,56.95833333,53.16666667,42.20833333,34.875,28.54166667,41.33333333,62.875,53.70833333,34.75,48.125,61.70833333,46.91666667,32.83333333,40.83333333,42.875,34.83333333,30.91666667,26.41666667,26.41666667,30.625,45.29166667,49.16666667,42.04166667,56.08333333,82.83333333,68.20833333,64.25,77.79166667,66.70833333,51.41666667,,,,,,
71,21,55.79166667,58.79166667,45.375,32.125,67.20833333,51.58333333,26.58333333,66.125,58.91666667,53.45833333,39.79166667,29.29166667,27.33333333,26.70833333,24.16666667,22.79166667,53.29166667,64.70833333,51.20833333,54.95833333,76.41666667,79.04166667,59.625,52.20833333,46.29166667,54.58333333,53.875,45.79166667,36.125,35.33333333,31.33333333,36.16666667,59.75,56.95833333,53.16666667,42.20833333,34.875,28.54166667,41.33333333,62.875,,,,,,,,,,,
72,12,8.5,9.958333333,10.33333333,18.375,14.75,19,64,32.29166667,52.25,56.29166667,23.33333333,9.875,16.25,33.375,18.08333333,31.54166667,22.54166667,52.125,75.66666667,47.5,33.16666667,18.45833333,40.08333333,47.58333333,27.58333333,11.33333333,12.16666667,52.41666667,74.08333333,85.70833333,58.70833333,50.58333333,40.5,38.16666667,42.25,58.29166667,38.58333333,47.25,59.33333333,55.79166667,58.79166667,45.375,32.125,67.20833333,51.58333333,26.58333333,66.125,58.91666667,53.45833333,39.79166667,
