site_number,camera_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
19,33,0,0,2,0,0,0,0,13,0,16,0,0,0,0,0,7,0,0,8,0,6,5,0,0,4,3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
37,9,5,0,0,0,0,0,12,0,0,0,0,9,0,0,0,6,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,3,,,,,,,,
38,29,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,
39,27,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,,,,,,,,,,,,,,,
40,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
41,12,0,0,0,0,0,0,0,0,0,0,16,10,4,3,0,0,0,0,0,15,4,7,0,0,0,14,9,0,0,3,0,0,10,,,,,,,,,,,,,,,,,,
43,11,0,13,0,0,0,6,5,6,9,0,0,0,3,0,7,3,17,6,12,0,10,2,6,19,4,3,4,0,24,0,9,0,0,3,3,0,0,2,4,0,0,0,0,0,,,,,,,
44,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
45,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
49,15,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
59,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0,,,,,,,
60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
61,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
62,21,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,22,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
63,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
64,15,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,10,6,0,0,0,7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
65,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
66,48,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,1,0,0,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,
67,70,0,0,0,0,0,0,0,6,1,0,0,0,0,0,2,0,0,0,0,1,37,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,,,,,,,,,,,,
69,14,0,1,2,3,0,3,0,0,1,0,3,0,0,3,0,10,0,3,0,0,0,0,3,0,0,61,13,0,12,0,0,,,,,,,,,,,,,,,,,,,,
70,59,0,0,3,1,1,0,0,0,1,0,0,0,0,0,16,0,1,0,9,0,1,0,1,0,0,0,0,1,0,0,0,6,7,1,1,0,0,2,0,3,0,0,0,0,0,,,,,,
71,21,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,2,3,0,0,0,3,0,1,,,,,,,,,,,
72,12,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,6,0,0,0,0,0,21,7,0,4,2,8,0,1,5,0,0,1,6,0,1,0,2,6,0,9,0,0,3,0,0,0,0,3,
73,19,0,6,0,7,2,2,0,16,0,0,1,0,0,0,0,0,0,23,0,3,3,0,0,0,10,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
74,44,0,0,1,0,0,0,0,4,0,6,8,0,0,21,1,3,0,0,0,3,4,6,0,5,2,0,3,0,0,0,1,2,8,0,1,0,0,0,1,0,0,,,,,,,,,,
75,4,0,2,19,0,5,14,1,0,0,0,4,0,0,0,0,0,3,6,0,18,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
76,2,0,0,6,0,21,0,6,0,52,1,0,0,0,4,3,0,0,1,6,0,14,0,3,2,9,0,0,0,6,0,0,0,0,0,5,0,6,0,0,0,3,0,0,20,0,3,8,0,0,0,
77,58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,,,,,,
78,8,0,7,16,12,0,11,6,47,11,7,0,11,0,0,0,0,6,0,45,43,71,0,0,21,1,3,3,15,6,3,9,0,15,8,20,0,10,10,0,3,,,,,,,,,,,
80,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
81,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,,,,,,,,,,,,,,,,
82,9,0,0,0,0,7,0,0,0,0,0,6,6,0,3,6,0,0,0,0,0,0,0,9,0,6,0,0,24,17,3,0,0,0,0,0,0,67,0,,,,,,,,,,,,,
84,48,0,0,0,0,0,0,0,0,0,0,4,3,10,27,8,8,4,5,6,0,11,6,12,40,0,2,4,29,29,0,14,6,41,7,27,55,7,,,,,,,,,,,,,,
85,64,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
86,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,,,,,,,,,,,,,,,,
87,22,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,,,,,,,,,,,,,,,,
90,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
91,63,0,0,0,0,0,1,0,0,1,0,8,7,4,0,0,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
93,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
94,41,0,0,0,0,0,0,0,0,5,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
95,43,0,0,0,0,0,3,0,0,0,0,5,0,1,0,3,4,0,0,3,0,0,4,1,0,0,3,0,0,1,5,6,0,21,0,1,2,12,0,0,0,,,,,,,,,,,
96,21,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,
101,42,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,
102,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
105,1,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
106,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
116,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
122,24,0,7,0,13,0,2,0,0,10,0,0,0,0,1,0,0,6,0,0,3,0,1,0,0,0,6,3,5,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,9,0,0,0,
132,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
140,14,0,0,0,0,0,0,0,0,0,11,6,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,9,0,1,3,12,0,0,0,0,0,0,,,,,,,,,,,,,
158,46,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,
165,23,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,,,,,,,,,
168,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
173,10,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,12,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,,,,,,,,,,,,,
183,19,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
189,47,0,1,1,3,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,,,,,
190,7,0,0,0,3,8,0,0,6,6,0,0,0,0,0,0,0,0,0,9,0,0,13,0,9,0,0,0,0,1,9,5,1,0,5,24,3,12,0,6,8,0,,,,,,,,,,
191,70,4,3,0,0,1,0,2,5,13,13,5,0,16,0,0,0,3,3,4,1,1,2,0,0,2,2,0,2,13,2,1,1,0,0,0,0,2,1,1,0,9,,,,,,,,,,
193,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
194,63,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
195,68,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,,,,,,,,,,
196,57,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
197,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
198,36,0,5,2,1,0,0,0,5,1,1,0,3,9,2,2,7,10,4,3,0,0,1,5,3,0,0,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,
200,40,0,5,5,0,0,9,6,16,0,4,0,3,0,0,1,4,0,10,1,3,0,11,4,9,3,16,1,0,2,0,0,0,1,0,0,7,1,11,0,0,,,,,,,,,,,
201,20,0,1,0,8,0,0,0,0,0,5,0,0,11,1,0,0,8,1,9,0,6,3,0,0,3,0,1,2,0,0,3,0,1,0,0,7,0,6,3,,,,,,,,,,,,
202,65,0,7,30,0,3,2,0,19,14,1,0,0,0,7,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,7,5,0,2,,,,,,,,,,,,,
203,10,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,,,,,,,,,,,
204,49,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
205,26,3,0,0,0,0,0,0,10,0,0,0,1,0,0,6,0,0,0,0,3,5,0,0,0,5,0,0,0,0,3,0,15,14,0,5,3,0,0,0,,,,,,,,,,,,
206,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
207,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,1,,,,,,,,,,,,,,,,,,,,
208,53,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,21,0,1,0,4,0,2,8,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,
