site_number,camera_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
19,33,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,,,,,,,,,,,,,,,,,,,
37,9,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,,,,,,,,
38,29,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,,,,,,,,,,,,,,,,,,,,
39,27,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0.7874,0.1778,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,,,,,,,,,,,,,,,
40,50,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,,,,,,,,,,,,,,,,,,
41,12,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
43,11,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0.7874,0.1778,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,,,,,,,
44,5,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,,,,,,,,,,,,,,,
45,4,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,,,,,,,,,,,,,,,
49,15,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0.7874,0.1778,0,0,0,0.254,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
59,30,0,0,0.127,0,0,0,0,0,0,0,0,0.7874,0.1778,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,,,,,,,
60,60,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,,,,,,,,,,,,,,,
61,28,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,,,,
62,21,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,0,0,0,0,0,0,0.4318,,,,,,,,,,,,,,,
63,17,0,0,0.127,0,0,0,0,0,0,0,0,0.7874,0.1778,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,,,,,,,
64,15,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,,,,,,,,,,,
65,47,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,,,,,,,,,,
66,48,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,,,,,,,,,,
67,70,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,,,,,,,,,,,,
69,14,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,,,,,,,,,,,,,,,,,,,,
70,59,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,,,,,,
71,21,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,,,,,,,,,,,
72,12,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0.7874,0.1778,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,
73,19,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,,,,,,,,,,,,,,,,,,,,
74,44,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,,,,,,,,,,
75,4,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,,,,,,,,,,,
76,2,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0.7874,0.1778,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,
77,58,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,,,,,,
78,8,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,,,,,,,,,,,
80,48,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,,,,,,,,,,,,,,,,,,,,
81,8,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
82,9,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0.7874,0.1778,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,,,,,,,,,,,,,
84,48,0,0.254,0,0,0,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,0,0,0,0,0,0,0.4318,0.1778,0,0,0,0.2032,0.1016,0,0,0,,,,,,,,,,,,,,
85,64,0,0.254,0,0,0,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,0,0,0,0,0,0,0.4318,0.1778,0,0,0,0.2032,0.1016,0,0,0,,,,,,,,,,,,,,
86,20,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
87,22,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
90,57,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,,,,,,,,,,,,
91,63,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,0,0,0.2032,0.254,0,0,0,0,0.0254,0.1524,0.1524,0,,,,,,,,,,,,
93,13,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,0,1.3462,0,0,0,0,0,0,1.143,0,0,0,0,0,0,0,0.4064,0.0254,0.6604,0.8636,,,,,
94,41,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,,,,,,,,,,,
95,43,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,,,,,,,,,,,
96,21,0,0,0,0,0,0,0,0,0,0,0,0.0762,0.9398,0,0,0,0.0254,0,0,0.0254,0,1.7018,0,0,0,0,0,0,0,0,0,0.4318,,,,,,,,,,,,,,,,,,,
100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0.7874,0.1778,0,0,0,0.254,0,0,0,0,0,0,0,0,0,0,0.0254,,,,,,,,,,,
101,42,0,0,0,0,0,0,0,0,0,0,0.0254,0,0.127,0,2.413,0,0.2286,0.0762,0.0762,0,0.0254,0.0254,0,0,0.5334,0.1016,0,0,0,0,0,0,0.0508,0.381,0.0762,0.127,0.4572,1.143,0.0254,0.0254,,,,,,,,,,,
