site_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
19,2.90322,2.90322,0,1.032256,1.096772,2.774188,4.967732,4.967732,4.967732,5.48386,5.096764,5.032248,3.354832,1.161288,1.161288,1.225804,1.096772,0.838708,0.838708,1.032256,3.419348,3.419348,3.354832,2.967736,2.645156,2.645156,2.451608,0.129032,0.129032,4.451604,4.451604,4.387088,,,,,,,,,,,,,,,,,,,
37,0,0.064516,0.064516,0.387096,0.387096,6.516116,6.516116,7.09676,7.225792,7.41934,7.09676,7.161276,1.096772,1.096772,0.516128,1.677416,1.741932,1.741932,1.677416,1.6129,1.6129,1.6129,0.258064,0.129032,1.096772,1.29032,1.6129,2.774188,5.677408,5.741924,5.677408,4.709668,7.935468,7.612888,6.4516,3.54838,3.483864,3.419348,3.419348,2.90322,2.90322,2.90322,2.90322,,,,,,,,
38,3.419348,2.90322,2.90322,2.90322,2.90322,2.90322,2.90322,2.90322,0,1.032256,1.096772,2.774188,4.967732,4.967732,4.967732,5.48386,5.096764,5.032248,3.354832,1.161288,1.161288,1.225804,1.096772,0.838708,0.838708,1.032256,3.419348,3.419348,3.354832,2.967736,2.645156,,,,,,,,,,,,,,,,,,,,
39,1.225804,1.225804,1.225804,0,0,0,0,0,0,0,0,0.32258,0.32258,0.32258,0.32258,0.32258,0.32258,0.32258,0,0,1.999996,2.451608,2.451608,2.451608,2.451608,3.096768,3.096768,1.096772,0.64516,0.64516,0.64516,0.64516,0,0,0,0,,,,,,,,,,,,,,,
40,3.483864,3.419348,3.419348,2.90322,2.90322,2.90322,2.90322,2.90322,2.90322,2.90322,0,1.032256,1.096772,2.774188,4.967732,4.967732,4.967732,5.48386,5.096764,5.032248,3.354832,1.161288,1.161288,1.225804,1.096772,0.838708,0.838708,1.032256,3.419348,3.419348,3.354832,2.967736,2.645156,,,,,,,,,,,,,,,,,,
41,2.774188,4.967732,4.967732,4.967732,5.48386,5.096764,5.032248,3.354832,1.161288,1.161288,1.225804,1.096772,0.838708,0.838708,1.032256,3.419348,3.419348,3.354832,2.967736,2.645156,2.645156,2.451608,0.129032,0.129032,4.451604,4.451604,4.387088,4.387088,4.387088,4.322572,4.322572,0,0,,,,,,,,,,,,,,,,,,
43,1.225804,1.225804,1.225804,1.225804,1.225804,0,0,0,0,0,0,0,0,0.32258,0.32258,0.32258,0.32258,0.32258,0.32258,0.32258,0,0,1.999996,2.451608,2.451608,2.451608,2.451608,3.096768,3.096768,1.096772,0.64516,0.64516,0.64516,0.64516,0,0,0,0,0.064516,0.064516,0.387096,0.387096,6.516116,6.516116,,,,,,,
44,7.612888,6.4516,3.54838,3.483864,3.419348,3.419348,2.90322,2.90322,2.90322,2.90322,2.90322,2.90322,2.90322,0,1.032256,1.096772,2.774188,4.967732,4.967732,4.967732,5.48386,5.096764,5.032248,3.354832,1.161288,1.161288,1.225804,1.096772,0.838708,0.838708,1.032256,3.419348,3.419348,3.354832,2.967736,2.645156,,,,,,,,,,,,,,,
45,7.612888,6.4516,3.54838,3.483864,3.419348,3.419348,2.90322,2.90322,2.90322,2.90322,2.90322,2.90322,2.90322,0,1.032256,1.096772,2.774188,4.967732,4.967732,4.967732,5.48386,5.096764,5.032248,3.354832,1.161288,1.161288,1.225804,1.096772,0.838708,0.838708,1.032256,3.419348,3.419348,3.354832,2.967736,2.645156,,,,,,,,,,,,,,,
49,1.225804,1.225804,1.225804,1.225804,0,0,0,0,0,0,0,0,0.32258,0.32258,0.32258,0.32258,0.32258,0.32258,0.32258,0,0,1.999996,2.451608,2.451608,2.451608,2.451608,3.096768,3.096768,1.096772,0.64516,,,,,,,,,,,,,,,,,,,,,
59,0,0,0,0.32258,0.32258,0.32258,0.32258,0.32258,0.32258,0.32258,0,0,1.999996,2.451608,2.451608,2.451608,2.451608,3.096768,3.096768,1.096772,0.64516,0.64516,0.64516,0.64516,0,0,0,0,0.064516,0.064516,0.387096,0.387096,6.516116,6.516116,7.09676,7.225792,7.41934,7.09676,7.161276,1.096772,1.096772,0.516128,1.677416,1.741932,,,,,,,
60,7.612888,6.4516,3.54838,3.483864,3.419348,3.419348,2.90322,2.90322,2.90322,2.90322,2.90322,2.90322,2.90322,0,1.032256,1.096772,2.774188,4.967732,4.967732,4.967732,5.48386,5.096764,5.032248,3.354832,1.161288,1.161288,1.225804,1.096772,0.838708,0.838708,1.032256,3.419348,3.419348,3.354832,2.967736,2.645156,,,,,,,,,,,,,,,
61,0.258064,0.129032,1.096772,1.29032,1.6129,2.774188,5.677408,5.741924,5.677408,4.709668,7.935468,7.612888,6.4516,3.54838,3.483864,3.419348,3.419348,2.90322,2.90322,2.90322,2.90322,2.90322,2.90322,2.90322,0,1.032256,1.096772,2.774188,4.967732,4.967732,4.967732,5.48386,5.096764,5.032248,3.354832,1.161288,1.161288,1.225804,1.096772,0.838708,0.838708,1.032256,3.419348,3.419348,3.354832,2.967736,2.645156,,,,
