site,cam_number,cam_moved,sampling_period_length,canopy_cov,biotic_com_2,veg_cover_cam,veg_cover_cam_under_1m,veg_cover,veg_cover_diff,obs_dist,detection_angle,max_trig_dist,vertical_cover,tree_density_5_70,shrub_yucca_density,herbaceous_cov,pred_count_avg,coy_count_avg,bobcat_count_avg,livestock_count_avg,cow_count_avg,sheep_count_avg,lagomorph_count_avg,rodent_count_avg,cottontail_count_avg,jackrabbit_count_avg,prey_count_avg,elevation,slope,topo_pos,heat_load,aspect,dist_water_tank,water_tank_density_0_9km,water_tank_density_1_3km,water_tank_density_1_5_km,water_tank_density_1_6_km,water_tank_density_1_9_km,water_tank_density_2_4_km,water_tank_density_3_7_km,small_rd_dist,turbine_rd_dist,turbine_rd_density_0_1km,turbine_rd_density_0_9km,turbine_rd_density_1_3km,turbine_rd_density_1_5km,turbine_rd_density_1_6km,turbine_rd_density_1_9km,turbine_rd_density_2_4km,turbine_rd_density_3_7km,turbine_density_0_9km,turbine_density_1_3km,turbine_density_1_5km,turbine_density_1_6km,turbine_density_1_9km,turbine_density_2_4km,turbine_density_3_7km,turbine_dist,50cm_turbine_vis,150cm_turbine_vis,turbine_interior,woodland_percent_0_1km,woodland_percent_0_9km,woodland_percent_1_3km,woodland_percent_1_5km,woodland_percent_1_6km,woodland_percent_1_9km,woodland_percent_2_4km,woodland_percent_3_7km,NDVI_0_1km,NDVI_0_9km,NDVI_1_3km,NDVI_1_5km,NDVI_1_6km,NDVI_1_9km,NDVI_2_4km,NDVI_3_7km
19,33,yes,32,0,1,0.175,0.3,0.1375,-0.225,99.66666667,47,30,7,0,138.8888889,0.138888889,0.25,0.25,0,250.28125,250.28125,0,2,0,0.5625,1.40625,2,1795.4624,0.74303371,-2.439819336,1.010451567,0.369922031,1270.03725,0,0.188323917,0.282885431,0.248756219,0.264550265,0.165745856,0.186003255,1227.347913,7463.77314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7479.401919,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0.106,0.103,0.103,0.104,0.104,0.104,0.104,0.106
37,9,no,43,0,1,0.125,0.25,0.1125,-0.225,27.66666667,46,10,7.5,0,6.944444444,0.09375,0.534883721,0.534883721,0,0,0,0,1.162790698,0,0,1.162790698,1.162790698,1843.796,1.1176038,-2.337036133,0.999408897,0.949874911,1585.882838,0,0,0,0.124378109,0.176366843,0.165745856,0.348756103,433.8132336,39.4038329,5.924814567,0.49049325,0.897735728,0.87349418,0.813233719,0.667015821,0.525181992,0.593632414,0.787401575,0.941619586,1.131541726,1.119402985,0.881834215,0.607734807,0.651011393,163.2480875,49,60,1,0,0,0,0,0,0,0,2.92,0.095,0.096,0.096,0.096,0.096,0.096,0.096,0.1
38,29,yes,31,0,1,0.15,0.3,0.1125,-0.225,237,44,20,5.5,41.66666667,6.944444444,0.232638889,0,0,0,2.451612903,2.451612903,0,0.612903226,0,0.129032258,0.483870968,0.612903226,1856.2288,1.9030596,4.260742188,1.00665244,0.121759346,296.397717,0.393700787,0.376647834,0.282885431,0.248756219,0.264550265,0.220994475,0.139502441,45.38646663,1070.971448,0,0,0.231181509,0.212441459,0.200368324,0.193634669,0.19479017,0.349508917,0,0.188323917,0.424328147,0.373134328,0.264550265,0.220994475,0.465008138,1082.160193,84,91,0,0,0,0,0,0,0,0,0,0.101,0.101,0.1,0.1,0.1,0.1,0.099,0.099
39,27,no,36,0,1,0.075,0.15,0.0375,-0.075,159,58,15,3.625,0,0,0.166666667,0,0,0,0,0,0,0.361111111,0,0,0.361111111,0.361111111,1851.7529,1.3069903,0.335205078,1.000948447,0.133328855,886.7295243,0.393700787,0.188323917,0.282885431,0.248756219,0.264550265,0.165745856,0.209253662,583.4080371,792.2350723,0,0.060576302,0.16589448,0.276514958,0.292729477,0.48188253,0.422055578,0.306773105,0.393700787,0.188323917,0.565770863,0.621890547,0.617283951,0.44198895,0.395256917,801.2849239,119,122,1,0,0,0,0,0,0,0,0.01,0.1,0.098,0.099,0.099,0.099,0.099,0.099,0.098
40,50,no,33,0,1,0.075,0.15,0.05,-0.1,220.3333333,36,15,3.625,0,0,0.295138889,0.090909091,0.090909091,0,1.787878788,1.787878788,0,0,0,0,0,0,1834.4425,1.6218091,-0.946777344,0.995759047,0.84749497,1761.993242,0,0,0,0,0.176366843,0.165745856,0.255754476,181.2613073,240.3446275,0,1.228849047,0.821616622,0.677027696,0.623870029,0.578342884,0.463290859,0.300119596,1.57480315,1.31826742,0.99009901,0.870646766,0.881834215,0.607734807,0.418507324,760.5481787,32,55,1,0,0,0,0,0,0.01,0.03,0.01,0.095,0.097,0.097,0.097,0.097,0.097,0.097,0.097
41,12,no,33,0,1,0.075,0.15,0.0375,-0.075,500,42,20,4,0,0,0.310763889,0,0,0,0,0,0,2.878787879,0,0,2.878787879,2.878787879,1785.6073,1.1138858,0.754760742,1.007830278,0.899646601,753.3252615,0.393700787,0.188323917,0.141442716,0.124378109,0.264550265,0.44198895,0.232504069,245.8708056,5144.905345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5069.181077,7.3,9.6,0,0,0,0,0,0,0,0,0,0.102,0.107,0.106,0.105,0.105,0.104,0.103,0.103
43,11,no,44,0.572,1,0.3,0.35,0.1875,-0.125,30.66666667,41,20,3,6.944444444,194.4444444,0.199652778,0.090909091,0.090909091,0,0,0,0,3.613636364,0.477272727,0.25,3.363636364,4.090909091,1815.7512,0.99693471,2.518798828,0.995767042,0.965794604,391.1509503,0.393700787,0.188323917,0.141442716,0.124378109,0.264550265,0.165745856,0.116252034,70.1694969,2557.553326,0,0,0,0,0,0,0,0.05119001,0,0,0,0,0,0,0.069751221,2531.910697,24,41,0,0,0,0,0,0.01,0.01,0.03,3.17,0.105,0.102,0.103,0.103,0.103,0.104,0.106,0.107
44,5,no,36,5.616,1,0.25,0.25,0.3625,-0.025,36.33333333,44,10,2.75,222.2222222,69.44444444,0.340277778,0.555555556,0.555555556,0,0,0,0,0,0,0,0,0,1964.4491,2.4446189,-5.550048828,0.981145422,0.621331174,3701.356511,0,0,0.141442716,0.124378109,0.088183422,0.055248619,0.139502441,165.2849836,368.6428157,0,1.384398834,1.084421998,1.125281675,1.077214405,1.075944703,1.021175829,0.771133356,0,0,0,0,0.088183422,0.165745856,0.162752848,1865.007543,6.3,27,0,0,28.51,32.06,31.94,31.35,31.18,28.57,28.71,0.121,0.121,0.121,0.121,0.121,0.12,0.12,0.12
45,4,no,36,24.18,2,0.15,0,0.5375,0.075,24.66666667,41,10,4.25,277.7777778,48.61111111,0.220486111,0.444444444,0.444444444,0,14.91666667,14.91666667,0,0.416666667,0,0,0.416666667,0.416666667,1939.5708,3.2932792,2.786010742,0.974975933,0.847958915,3008.070239,0.393700787,0.376647834,0.282885431,0.248756219,0.264550265,0.220994475,0.209253662,27.45222095,177.8114682,0,0.341604619,0.566154313,0.53224929,0.512044746,0.448683197,0.492570962,0.681990089,0,0.188323917,0.141442716,0.248756219,0.176366843,0.165745856,0.116252034,1203.664618,0,0,0,58.82,18.3,17.06,17.92,17.84,20.17,26.16,25.12,0.126,0.118,0.118,0.119,0.119,0.12,0.12,0.118
49,15,no,30,5.2,1,0.775,0.75,0.55,-0.15,19.66666667,46,20,10.375,277.7777778,0,0.079861111,0.633333333,0.633333333,0,0.6,0.6,0,0.466666667,0,0,0.466666667,0.466666667,1948.9417,0.58562684,-0.59777832,1.000445279,0.598901466,6160.171163,0,0.188323917,0.141442716,0.124378109,0.088183422,0.055248619,0.046500814,552.1361939,286.8498377,0,1.435168776,0.918718485,0.782497461,0.728132372,0.599819023,0.507876291,0.30177972,0,0,0,0,0,0,0,5274.408586,0,1.3,0,0,27.79,28.92,29.85,30.01,28.58,24.54,23.78,0.115,0.115,0.115,0.115,0.115,0.116,0.116,0.117
