"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(vertical_cover)_psi","psi(slope)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(turbine_dist)_psi","psi(turbine_dist:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(detection_angle)_det","p(as.factor(precip.cat)1)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Vertical cover + slope",6,610.974155752535,0,1,0.329169486317446,-299.04497261311,0.329169486317446,"Vertical cover + slope","-0.49 [-1.00, 0.01]","0.50 [-0.02, 1.02]","-1.76 [-2.73, -0.80]",NA,NA,NA,"-3.61 [-3.92, -3.29]","-0.42 [-0.63, -0.21]","0.68 [0.32, 1.05]",NA,NA,NA,NA
"Slope",5,611.391966952684,0.417811200148549,0.811471834908816,0.26711176705801,-300.383483476342,0.596281253375456,"Slope","-0.51 [-0.99, -0.03]",NA,"-1.64 [-2.50, -0.77]",NA,NA,NA,"-3.59 [-3.90, -3.28]","-0.42 [-0.63, -0.21]","0.68 [0.31, 1.05]",NA,NA,NA,NA
"Biotic community + slope + vertical cover",7,612.745141446063,1.77098569352802,0.412510818549765,0.135785974242415,-298.776826042181,0.732067227617871,"Biotic community + slope + vertical cover","-0.67 [-1.28, -0.06]","0.46 [-0.04, 0.96]","-1.86 [-2.86, -0.85]","0.51 [-0.49, 1.52]",NA,NA,"-3.61 [-3.92, -3.29]","-0.42 [-0.63, -0.21]","0.68 [0.31, 1.05]",NA,NA,NA,NA
"Turbine distance + vertical cover + slope",7,612.820780692759,1.84662494022371,0.397201142626592,0.130746496083098,-298.814645665528,0.862813723700968,"Turbine distance + vertical cover + slope","-0.50 [-1.01, 0.02]","0.53 [-0.03, 1.10]","-1.78 [-2.78, -0.78]",NA,"-0.21 [-0.65, 0.24]",NA,"-3.62 [-3.93, -3.30]","-0.42 [-0.63, -0.21]","0.69 [0.32, 1.06]",0.460653895162636,1,0.497318532900744,0.397201142626592
"Turbine distance + slope",6,613.294318912381,2.32016315984617,0.313460607747221,0.103181667232907,-300.205054193033,0.965995390933876,"Turbine distance + slope","-0.52 [-1.00, -0.03]",NA,"-1.63 [-2.51, -0.75]",NA,"-0.18 [-0.61, 0.25]",NA,"-3.59 [-3.90, -3.28]","-0.42 [-0.62, -0.21]","0.68 [0.31, 1.05]",0.356858566618143,1,0.550256104690235,0.386286491117026
"Turbine distance x biotic community + slope + vertical cover",9,615.700757430972,4.72660167843685,0.0941090710347066,0.0309778345703064,-297.872117845921,0.996973225504182,"Turbine distance x biotic community + slope + vertical cover","-0.64 [-1.25, -0.04]","0.47 [-0.05, 1.00]","-1.75 [-2.74, -0.76]","-0.14 [-1.79, 1.51]","0.04 [-0.48, 0.57]","-1.36 [-3.71, 1.00]","-3.59 [-3.91, -3.28]","-0.41 [-0.62, -0.20]","0.68 [0.31, 1.05]",1.80941639251944,2,0.404659949163122,0.228137219202055
"Vertical cover",5,622.39446934167,11.420313589135,0.003312153176559,0.00109025975973262,-305.884734670835,0.998063485263915,"Vertical cover","-0.25 [-0.67, 0.17]","0.41 [0.02, 0.79]",NA,NA,NA,NA,"-3.59 [-3.90, -3.27]","-0.41 [-0.63, -0.20]","0.67 [0.30, 1.04]",NA,NA,NA,NA
"Null",4,622.808406749736,11.8342509972007,0.002692929892838,0.000886430349514379,-307.198017807858,0.998949915613429,"Null","-0.26 [-0.66, 0.13]",NA,NA,NA,NA,NA,"-3.58 [-3.89, -3.26]","-0.41 [-0.62, -0.19]","0.67 [0.30, 1.04]",NA,NA,NA,NA
"Turbine distance + vertical cover",6,623.682682168078,12.7085264155431,0.00173931624127415,0.000572529833683801,-305.399235820881,0.999522445447113,"Turbine distance + vertical cover","-0.27 [-0.68, 0.15]","0.41 [0.02, 0.80]",NA,NA,"-0.27 [-0.67, 0.13]",NA,"-3.58 [-3.90, -3.27]","-0.41 [-0.62, -0.20]","0.68 [0.31, 1.05]",0.970997699907684,1,0.32443148142922,0.525131583159788
"Turbine distance",5,624.045455058137,13.071299305602,0.00145078621420777,0.000477554552887203,-306.710227529069,1,"Turbine distance","-0.28 [-0.68, 0.12]",NA,NA,NA,"-0.26 [-0.65, 0.12]",NA,"-3.57 [-3.88, -3.26]","-0.40 [-0.61, -0.19]","0.67 [0.30, 1.04]",0.975580557578041,1,0.323292336342426,0.538738946775486
