"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(vertical_cover)_psi","psi(slope)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(as.factor(turbine_interior)1)_psi","psi(as.factor(turbine_interior)1:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(detection_angle)_det","p(as.factor(precip.cat)1)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Vertical cover + slope",6,610.974155752535,0,1,0.332335677580429,-299.04497261311,0.332335677580429,"Vertical cover + slope","-0.49 [-1.00, 0.01]","0.50 [-0.02, 1.02]","-1.76 [-2.73, -0.80]",NA,NA,NA,"-3.61 [-3.92, -3.29]","-0.42 [-0.63, -0.21]","0.68 [0.32, 1.05]",NA,NA,NA,NA
"Slope",5,611.391966952684,0.417811200148549,0.811471834908816,0.269681042091856,-300.383483476342,0.602016719672285,"Slope","-0.51 [-0.99, -0.03]",NA,"-1.64 [-2.50, -0.77]",NA,NA,NA,"-3.59 [-3.90, -3.28]","-0.42 [-0.63, -0.21]","0.68 [0.31, 1.05]",NA,NA,NA,NA
"Biotic community + slope + vertical cover",7,612.745141446063,1.77098569352802,0.412510818549765,0.137092062391994,-298.776826042181,0.739108782064278,"Biotic community + slope + vertical cover","-0.67 [-1.28, -0.06]","0.46 [-0.04, 0.96]","-1.86 [-2.86, -0.85]","0.51 [-0.49, 1.52]",NA,NA,"-3.61 [-3.92, -3.29]","-0.42 [-0.63, -0.21]","0.68 [0.31, 1.05]",NA,NA,NA,NA
"Turbine interior + vertical cover + slope",7,613.194345420088,2.2201896675524,0.329527709236317,0.109513814530578,-299.001428029193,0.848622596594857,"Turbine interior + vertical cover + slope","-0.42 [-1.04, 0.20]","0.52 [-0.01, 1.05]","-1.77 [-2.75, -0.80]",NA,"-0.19 [-1.13, 0.75]",NA,"-3.61 [-3.93, -3.30]","-0.43 [-0.63, -0.22]","0.69 [0.32, 1.05]",0.0870891678339376,1,0.767910814110295,0.329527709236317
"Turbine interior + slope",6,613.647794245833,2.6736384932982,0.262679861045013,0.0872978896071275,-300.381791859759,0.935920486201984,"Turbine interior + slope","-0.52 [-1.08, 0.05]",NA,"-1.64 [-2.50, -0.77]",NA,"0.04 [-0.84, 0.91]",NA,"-3.59 [-3.90, -3.28]","-0.42 [-0.63, -0.21]","0.68 [0.31, 1.05]",0.00338323316611877,1,0.953616747945532,0.323707921513419
"Turbine interior x biotic community + slope + vertical cover",9,614.350857562175,3.37670180964017,0.184824065290382,0.0614236309714487,-297.197167911523,0.997344117173433,"Turbine interior x biotic community + slope + vertical cover","-0.39 [-1.08, 0.30]","0.48 [-0.00, 0.96]","-1.85 [-2.81, -0.89]","-0.42 [-1.71, 0.87]","-1.14 [-2.35, 0.07]","2.33 [0.34, 4.32]","-3.59 [-3.90, -3.28]","-0.43 [-0.64, -0.22]","0.69 [0.32, 1.06]",3.15931626131612,2,0.206045526814168,0.448046589275295
"Vertical cover",5,622.39446934167,11.420313589135,0.003312153176559,0.00110074667018191,-305.884734670835,0.998444863843615,"Vertical cover","-0.25 [-0.67, 0.17]","0.41 [0.02, 0.79]",NA,NA,NA,NA,"-3.59 [-3.90, -3.27]","-0.41 [-0.63, -0.20]","0.67 [0.30, 1.04]",NA,NA,NA,NA
"Null",4,622.808406749736,11.8342509972007,0.002692929892838,0.00089495668061291,-307.198017807858,0.999339820524228,"Null","-0.26 [-0.66, 0.13]",NA,NA,NA,NA,NA,"-3.58 [-3.89, -3.26]","-0.41 [-0.62, -0.19]","0.67 [0.30, 1.04]",NA,NA,NA,NA
"Turbine interior + vertical cover",6,624.640775363129,13.6666196105941,0.00107728660145228,0.000358020772641961,-305.878282418407,0.999697841296869,"Turbine interior + vertical cover","-0.23 [-0.73, 0.28]","0.41 [0.02, 0.81]",NA,NA,"-0.07 [-0.90, 0.77]",NA,"-3.59 [-3.91, -3.27]","-0.42 [-0.63, -0.20]","0.67 [0.30, 1.04]",0.0129045048566923,1,0.909556475465338,0.325252651078014
"Turbine interior",5,624.980052608045,14.0058968555099,0.000909197307163534,0.000302158703130495,-307.177526304023,1,"Turbine interior","-0.30 [-0.76, 0.17]",NA,NA,NA,"0.11 [-0.68, 0.90]",NA,"-3.57 [-3.89, -3.26]","-0.40 [-0.62, -0.19]","0.67 [0.30, 1.04]",0.0409830076700928,1,0.839570725135981,0.337623831047958
