"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(vertical_cover)_psi","psi(slope)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(turbine_rd_density_1_6km)_psi","psi(turbine_rd_density_1_6km:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(detection_angle)_det","p(as.factor(precip.cat)1)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Vertical cover + slope",6,610.974155752535,0,1,0.2592911592416,-299.04497261311,0.2592911592416,"Vertical cover + slope","-0.49 [-1.00, 0.01]","0.50 [-0.02, 1.02]","-1.76 [-2.73, -0.80]",NA,NA,NA,"-3.61 [-3.92, -3.29]","-0.42 [-0.63, -0.21]","0.68 [0.32, 1.05]",NA,NA,NA,NA
"Slope",5,611.391966952684,0.417811200148549,0.811471834908816,0.210407472765415,-300.383483476342,0.469698632007016,"Slope","-0.51 [-0.99, -0.03]",NA,"-1.64 [-2.50, -0.77]",NA,NA,NA,"-3.59 [-3.90, -3.28]","-0.42 [-0.63, -0.21]","0.68 [0.31, 1.05]",NA,NA,NA,NA
"Turbine road density x biotic community + slope + vertical cover",9,611.757771626947,0.783615874411794,0.675833904044264,0.175237756434414,-295.900624943908,0.644936388441429,"Turbine road density x biotic community + slope + vertical cover","-0.69 [-1.31, -0.08]","0.43 [-0.12, 0.98]","-1.72 [-2.76, -0.69]","-0.10 [-1.20, 1.01]","-0.24 [-0.78, 0.29]","1.56 [0.33, 2.80]","-3.57 [-3.88, -3.26]","-0.40 [-0.60, -0.19]","0.68 [0.31, 1.05]",5.75240219654461,2,0.0563484188538085,1.63834225347167
"Turbine road density + vertical cover + slope",7,612.193506773462,1.21935102092721,0.543527209354847,0.14093180019297,-298.50100870588,0.7858681886344,"Turbine road density + vertical cover + slope","-0.55 [-1.06, -0.03]","0.52 [-0.01, 1.06]","-1.88 [-2.91, -0.85]",NA,"0.29 [-0.11, 0.69]",NA,"-3.60 [-3.92, -3.29]","-0.41 [-0.62, -0.20]","0.69 [0.32, 1.06]",1.08792781445914,1,0.296930794622237,0.543527209354847
"Biotic community + slope + vertical cover",7,612.745141446063,1.77098569352802,0.412510818549765,0.10696040834147,-298.776826042181,0.89282859697587,"Biotic community + slope + vertical cover","-0.67 [-1.28, -0.06]","0.46 [-0.04, 0.96]","-1.86 [-2.86, -0.85]","0.51 [-0.49, 1.52]",NA,NA,"-3.61 [-3.92, -3.29]","-0.42 [-0.63, -0.21]","0.68 [0.31, 1.05]",NA,NA,NA,NA
"Turbine road density + slope",6,612.783243155699,1.80908740316352,0.404726519046188,0.104942008299304,-299.949516314691,0.997770605275173,"Turbine road density + slope","-0.55 [-1.03, -0.06]",NA,"-1.71 [-2.60, -0.81]",NA,"0.25 [-0.14, 0.64]",NA,"-3.58 [-3.89, -3.27]","-0.41 [-0.62, -0.20]","0.68 [0.31, 1.05]",0.867934323300801,1,0.351527810698853,0.498756089410875
"Vertical cover",5,622.39446934167,11.420313589135,0.003312153176559,0.000858812036735731,-305.884734670835,0.998629417311909,"Vertical cover","-0.25 [-0.67, 0.17]","0.41 [0.02, 0.79]",NA,NA,NA,NA,"-3.59 [-3.90, -3.27]","-0.41 [-0.63, -0.20]","0.67 [0.30, 1.04]",NA,NA,NA,NA
"Null",4,622.808406749736,11.8342509972007,0.002692929892838,0.000698252913670324,-307.198017807858,0.999327670225579,"Null","-0.26 [-0.66, 0.13]",NA,NA,NA,NA,NA,"-3.58 [-3.89, -3.26]","-0.41 [-0.62, -0.19]","0.67 [0.30, 1.04]",NA,NA,NA,NA
"Turbine road density + vertical cover",6,624.087694390067,13.1135386375314,0.00142046738271758,0.000368314634329723,-305.601741931875,0.999695984859909,"Turbine road density + vertical cover","-0.27 [-0.68, 0.14]","0.40 [0.02, 0.79]",NA,NA,"0.19 [-0.17, 0.55]",NA,"-3.58 [-3.89, -3.26]","-0.41 [-0.62, -0.20]","0.67 [0.31, 1.04]",0.565985477919412,1,0.4518586050794,0.428865244750941
"Turbine road density",5,624.471414498813,13.4972587462776,0.0011724855601711,0.0003040151400908,-306.923207249406,1,"Turbine road density","-0.28 [-0.67, 0.12]",NA,NA,NA,"0.18 [-0.17, 0.53]",NA,"-3.57 [-3.88, -3.26]","-0.40 [-0.61, -0.19]","0.67 [0.30, 1.04]",0.549621116902472,1,0.458472546883281,0.435394015748195
