"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(vertical_cover)_psi","psi(slope)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(turbine_rd_dist)_psi","psi(turbine_rd_dist:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(detection_angle)_det","p(as.factor(precip.cat)1)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Vertical cover + slope",6,610.974155752535,0,1,0.321922298342816,-299.04497261311,0.321922298342816,"Vertical cover + slope","-0.49 [-1.00, 0.01]","0.50 [-0.02, 1.02]","-1.76 [-2.73, -0.80]",NA,NA,NA,"-3.61 [-3.92, -3.29]","-0.42 [-0.63, -0.21]","0.68 [0.32, 1.05]",NA,NA,NA,NA
"Slope",5,611.391966952684,0.417811200148549,0.811471834908816,0.261230878134308,-300.383483476342,0.583153176477123,"Slope","-0.51 [-0.99, -0.03]",NA,"-1.64 [-2.50, -0.77]",NA,NA,NA,"-3.59 [-3.90, -3.28]","-0.42 [-0.63, -0.21]","0.68 [0.31, 1.05]",NA,NA,NA,NA
"Biotic community + slope + vertical cover",7,612.745141446063,1.77098569352802,0.412510818549765,0.132796430798816,-298.776826042181,0.71594960727594,"Biotic community + slope + vertical cover","-0.67 [-1.28, -0.06]","0.46 [-0.04, 0.96]","-1.86 [-2.86, -0.85]","0.51 [-0.49, 1.52]",NA,NA,"-3.61 [-3.92, -3.29]","-0.42 [-0.63, -0.21]","0.68 [0.31, 1.05]",NA,NA,NA,NA
"Turbine road distance + vertical cover + slope",7,612.929632912941,1.95547716040619,0.376160795198297,0.121094547736697,-298.86907177562,0.837044155012637,"Turbine road distance + vertical cover + slope","-0.50 [-1.01, 0.01]","0.52 [-0.03, 1.07]","-1.80 [-2.80, -0.80]",NA,"-0.18 [-0.62, 0.26]",NA,"-3.61 [-3.93, -3.30]","-0.42 [-0.63, -0.21]","0.69 [0.32, 1.06]",0.351801674980152,1,0.553095013235152,0.376160795198297
"Turbine road distance + slope",6,613.391419422273,2.41726366973762,0.298605541771284,0.0961277823049134,-300.253604447979,0.93317193731755,"Turbine road distance + slope","-0.51 [-1.00, -0.03]",NA,"-1.65 [-2.53, -0.78]",NA,"-0.15 [-0.57, 0.27]",NA,"-3.59 [-3.90, -3.28]","-0.42 [-0.62, -0.21]","0.68 [0.31, 1.05]",0.259758056726696,1,0.610286421774527,0.3679801675493
"Turbine road distance x biotic community + slope + vertical cover",9,614.19871050453,3.22455475199433,0.19943291278015,0.0642019016473881,-297.1210943827,0.997373838964938,"Turbine road distance x biotic community + slope + vertical cover","-0.65 [-1.28, -0.03]","0.52 [-0.05, 1.09]","-1.85 [-2.90, -0.79]","-1.08 [-3.42, 1.27]","0.09 [-0.45, 0.62]","-3.62 [-7.99, 0.76]","-3.60 [-3.92, -3.29]","-0.41 [-0.62, -0.20]","0.68 [0.31, 1.05]",3.31146331896196,2,0.19095229252693,0.483461048321792
"Vertical cover",5,622.39446934167,11.420313589135,0.003312153176559,0.00106625596306133,-305.884734670835,0.998440094928,"Vertical cover","-0.25 [-0.67, 0.17]","0.41 [0.02, 0.79]",NA,NA,NA,NA,"-3.59 [-3.90, -3.27]","-0.41 [-0.63, -0.20]","0.67 [0.30, 1.04]",NA,NA,NA,NA
"Null",4,622.808406749736,11.8342509972007,0.002692929892838,0.000866914180378482,-307.198017807858,0.999307009108378,"Null","-0.26 [-0.66, 0.13]",NA,NA,NA,NA,NA,"-3.58 [-3.89, -3.26]","-0.41 [-0.62, -0.19]","0.67 [0.30, 1.04]",NA,NA,NA,NA
"Turbine road distance + vertical cover",6,624.465990276342,13.4918345238068,0.00117566978746966,0.000378474320074444,-305.790889875013,0.999685483428453,"Turbine road distance + vertical cover","-0.26 [-0.67, 0.16]","0.41 [0.02, 0.79]",NA,NA,"-0.12 [-0.51, 0.27]",NA,"-3.59 [-3.90, -3.27]","-0.41 [-0.62, -0.20]","0.67 [0.31, 1.04]",0.187689591644016,1,0.664846547203945,0.354956345554969
"Turbine road distance",5,624.836213191405,13.8620574388702,0.000976995297208504,0.000314516571547484,-307.105606595703,1,"Turbine road distance","-0.27 [-0.67, 0.13]",NA,NA,NA,"-0.11 [-0.49, 0.27]",NA,"-3.57 [-3.89, -3.26]","-0.40 [-0.62, -0.19]","0.67 [0.30, 1.04]",0.1848224243098,1,0.667261266402461,0.362800123318055
