"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(slope)_psi","psi(NDVI_1_5km)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(X50cm_turbine_vis)_psi","psi(turbine_density_1_5km)_psi","psi(turbine_dist)_psi","psi(as.factor(turbine_interior)1)_psi","psi(X50cm_turbine_vis:as.factor(biotic_com_2)2)_psi","psi(as.factor(turbine_interior)1:NDVI_1_5km)_psi","p(Int)_det","p(as.factor(cam_moved)yes)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Turbine visibility + turbine density + NDVI + slope",7,589.736122945566,0,1,0.294031384474006,-287.272316791932,0.294031384474006,"Turbine visibility + turbine density + NDVI + slope","-3.09 [-4.54, -1.63]","0.59 [0.05, 1.14]","1.13 [0.41, 1.84]",NA,"-2.10 [-4.60, 0.39]","-1.21 [-2.09, -0.32]",NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.33 [-3.95, -0.72]",10.1456375696106,2,0.00626473628556797,16.2740872562105
"Turbine visibility + turbine density + NDVI",6,590.855767950029,1.119645004463,0.57131046118163,0.167983205865718,-288.985778711856,0.462014590339723,"Turbine visibility + turbine density + NDVI","-3.25 [-4.81, -1.69]",NA,"1.24 [0.57, 1.91]",NA,"-2.38 [-5.01, 0.26]","-1.34 [-2.22, -0.46]",NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.39 [-3.99, -0.80]",13.7848327121393,2,0.00101545716800105,105.266650536515
"Turbine visibility + turbine interior + NDVI + slope",7,591.896824324284,2.16070137871861,0.339476453987429,0.09981673176225,-288.352667481291,0.561831322101974,"Turbine visibility + turbine interior + NDVI + slope","-2.45 [-3.87, -1.03]","0.75 [0.16, 1.34]","1.10 [0.38, 1.82]",NA,"-2.16 [-4.67, 0.34]",NA,NA,"-1.69 [-3.02, -0.36]",NA,NA,"-2.09 [-2.27, -1.92]","-2.36 [-3.97, -0.75]",7.98493619089197,2,0.0184541113587806,5.52466943362036
"Turbine visibility + turbine density + slope",6,593.377593284024,3.64147033845859,0.161906678362049,0.0476056447943809,-290.246691378854,0.609436966896354,"Turbine visibility + turbine density + slope","-3.35 [-4.99, -1.72]","0.74 [0.19, 1.30]",NA,NA,"-3.91 [-6.67, -1.15]","-0.94 [-1.71, -0.18]",NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.75 [-4.29, -1.20]",19.5339737369721,2,5.73127830935875e-05,1865.09481949631
"Turbine interior + turbine distance + NDVI + slope",7,593.448531067145,3.71240812157976,0.156264677185511,0.0459467193772393,-289.128520852722,0.655383686273594,"Turbine interior + turbine distance + NDVI + slope","-1.83 [-2.55, -1.10]","0.65 [0.09, 1.21]","1.67 [0.95, 2.39]",NA,NA,NA,"0.42 [-0.09, 0.93]","-1.44 [-2.84, -0.03]",NA,NA,"-2.09 [-2.27, -1.92]","-2.34 [-3.97, -0.72]",6.43322944803083,2,0.0400905463627634,2.54306499158057
"Turbine visibility + turbine distance + NDVI + slope",7,593.45712381654,3.72100087097454,0.155594745749104,0.04574973850949,-289.132817227419,0.701133424783084,"Turbine visibility + turbine distance + NDVI + slope","-2.96 [-4.39, -1.54]","0.59 [0.03, 1.14]","1.26 [0.45, 2.06]",NA,"-2.13 [-4.69, 0.42]",NA,"0.55 [0.05, 1.04]",NA,NA,NA,"-2.09 [-2.26, -1.92]","-2.33 [-3.95, -0.71]",6.42463669863605,2,0.0402631609146355,2.53216246892881
"Turbine distance + turbine visibility + turbine interior + NDVI + slope",8,593.489483405872,3.753360460306,0.153097511558161,0.0450154732829713,-287.970548154549,0.746148898066055,"Turbine distance + turbine visibility + turbine interior + NDVI + slope","-2.56 [-3.97, -1.14]","0.64 [0.05, 1.23]","1.27 [0.47, 2.06]",NA,"-1.98 [-4.46, 0.49]",NA,"0.32 [-0.21, 0.86]","-1.41 [-2.82, 0.01]",NA,NA,"-2.09 [-2.27, -1.92]","-2.31 [-3.93, -0.70]",8.74917484437663,3,0.032818491120466,2.49152226180622
"Turbine visibility + turbine interior * NDVI + slope",8,593.495868981555,3.75974603598934,0.152609483184773,0.0448719776246813,-287.97374094239,0.791020875690736,"Turbine visibility + turbine interior * NDVI + slope","-2.35 [-3.73, -0.97]","0.70 [0.12, 1.28]","0.99 [0.28, 1.71]",NA,"-2.10 [-4.54, 0.34]",NA,NA,"-3.56 [-7.56, 0.43]",NA,"1.81 [-1.52, 5.15]","-2.09 [-2.27, -1.92]","-2.36 [-3.97, -0.75]",8.74278926869329,3,0.0329135184840182,2.48358004547419
"Turbine visibility + turbine distance + NDVI",6,594.242471184357,4.50634823879113,0.105065205227966,0.0308924677532244,-290.67913032902,0.821913343443961,"Turbine visibility + turbine distance + NDVI","-3.06 [-4.50, -1.62]",NA,"1.46 [0.68, 2.24]",NA,"-2.19 [-4.72, 0.35]",NA,"0.74 [0.25, 1.23]",NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.41 [-4.01, -0.80]",10.3981294778112,2,0.00552172626229691,19.3587602429064
"Turbine visibility + turbine interior + NDVI",6,594.426381655768,4.69025871020278,0.0958348046078076,0.0281784402796295,-290.771085564726,0.85009178372359,"Turbine visibility + turbine interior + NDVI","-2.63 [-4.21, -1.06]",NA,"1.15 [0.49, 1.81]",NA,"-2.63 [-5.35, 0.09]",NA,NA,"-1.73 [-2.99, -0.48]",NA,NA,"-2.10 [-2.27, -1.92]","-2.41 [-4.00, -0.81]",10.2142190063995,2,0.00605355544194025,17.6580153372651
