"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(slope)_psi","psi(NDVI_1_5km)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(turbine_density_1_5km)_psi","psi(turbine_density_1_5km:NDVI_1_5km)_psi","psi(turbine_density_1_5km:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(as.factor(cam_moved)yes)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Turbine density + NDVI + slope",6,590.160023831499,0,1,0.502042178345429,-288.637906652592,0.502042178345429,"Turbine density + NDVI + slope","-2.29 [-3.04, -1.54]","0.62 [0.11, 1.14]","1.50 [0.86, 2.14]",NA,"-1.28 [-2.17, -0.39]",NA,NA,"-2.09 [-2.27, -1.92]","-2.34 [-3.96, -0.73]",7.41445784829102,1,0.00647018082228913,13.1658145179341
"Turbine density x NDVI + slope",7,591.713076248498,1.55305241699898,0.460001187261305,0.230939998094149,-288.260793443398,0.732982176439578,"Turbine density x NDVI + slope","-2.89 [-4.41, -1.37]","0.60 [0.09, 1.12]","2.10 [0.73, 3.47]",NA,"-2.22 [-4.37, -0.07]","1.09 [-0.92, 3.10]",NA,"-2.09 [-2.27, -1.92]","-2.40 [-4.03, -0.78]",8.16868426667838,2,0.0168342103396789,6.05629030951183
"Turbine density + NDVI",5,591.800026895423,1.64000306392427,0.440430979781899,0.221114928500516,-290.587513447712,0.954097104940093,"Turbine density + NDVI","-2.29 [-3.03, -1.55]",NA,"1.58 [0.96, 2.19]",NA,"-1.45 [-2.34, -0.57]",NA,NA,"-2.09 [-2.27, -1.92]","-2.44 [-4.05, -0.84]",10.581363240429,1,0.00114233392278503,65.6519423808854
"NDVI + slope",5,595.315271153474,5.15524732197525,0.0759542828617117,0.0381322536225586,-292.345135576737,0.992229358562652,"NDVI + slope","-1.96 [-2.55, -1.36]","0.83 [0.30, 1.36]","1.38 [0.77, 1.99]",NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.41 [-4.03, -0.79]",NA,NA,NA,NA
"Turbine density x biotic community + slope",7,599.886223672778,9.7261998412788,0.0077264952068759,0.00387902648463549,-292.347367155538,0.996108385047287,"Turbine density x biotic community + slope","-13.60 [-80.72, 53.52]","0.66 [0.20, 1.12]",NA,"12.96 [-54.16, 80.08]","-17.08 [-109.45, 75.28]",NA,"16.13 [-76.24, 108.50]","-2.09 [-2.27, -1.92]","-2.77 [-4.37, -1.18]",11.4193625283879,2,0.00331372858054298,30.7668122087947
"NDVI",4,600.168761269873,10.0087374383739,0.00670857500645907,0.00336798760983641,-295.878195067926,0.999476372657124,"NDVI","-1.88 [-2.44, -1.31]",NA,"1.40 [0.84, 1.97]",NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.51 [-4.11, -0.90]",NA,NA,NA,NA
"Turbine density + slope",5,604.82233123993,14.6623074084309,0.000654817685242119,0.000328746097118065,-297.098665619965,0.999805118754242,"Turbine density + slope","-1.61 [-2.13, -1.08]","0.77 [0.30, 1.23]",NA,NA,"-0.98 [-1.71, -0.26]",NA,NA,"-2.09 [-2.27, -1.92]","-2.99 [-4.55, -1.42]",5.83002525475081,1,0.0157548973253779,6.10249799289265
"Biotic community + slope",5,606.739096839463,16.5790730079646,0.000251130833914191,0.000126078270907984,-298.057048419732,0.99993119702515,"Biotic community + slope","-1.86 [-2.45, -1.28]","0.92 [0.42, 1.42]",NA,"1.15 [0.31, 1.99]",NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.71 [-4.29, -1.12]",NA,NA,NA,NA
"Slope",4,608.439727628701,18.2797037972024,0.000107303220091962,5.38707423584478e-05,-300.01367824734,0.999985067767508,"Slope","-1.39 [-1.81, -0.98]","0.91 [0.41, 1.41]",NA,NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.88 [-4.45, -1.31]",NA,NA,NA,NA
"Turbine density",4,611.098576525247,20.9385526937484,2.83956002130577e-05,1.42557889863894e-05,-301.343102695613,0.999999323556495,"Turbine density","-1.50 [-1.98, -1.01]",NA,NA,NA,"-1.06 [-1.74, -0.38]",NA,NA,"-2.10 [-2.27, -1.92]","-3.13 [-4.69, -1.57]",8.26361200278575,1,0.00404475729880133,21.0746187585201
"Null",3,617.194715353196,27.0346915216971,1.34738381455076e-06,6.76443505324435e-07,-305.474908697006,1,"Null","-1.27 [-1.65, -0.89]",NA,NA,NA,NA,NA,NA,"-2.10 [-2.27, -1.92]","-2.98 [-4.56, -1.40]",NA,NA,NA,NA
