"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(slope)_psi","psi(NDVI_1_5km)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(turbine_dist)_psi","psi(turbine_dist:NDVI_1_5km)_psi","psi(turbine_dist:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(as.factor(cam_moved)yes)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Turbine distance x NDVI + slope",7,584.725400368516,0,1,0.976267322686808,-284.766955503407,0.976267322686808,"Turbine distance x NDVI + slope","-2.18 [-2.92, -1.43]","0.49 [-0.08, 1.06]","2.66 [1.48, 3.83]",NA,"0.09 [-0.76, 0.94]","3.13 [1.22, 5.05]",NA,"-2.09 [-2.26, -1.92]","-2.09 [-3.67, -0.50]",15.1563601466605,2,0.000511491253037244,199.324747672777
"Turbine distance + NDVI + slope",6,593.621180122131,8.89577975361556,0.0117032362038188,0.0114254870754735,-290.368484797908,0.987692809762282,"Turbine distance + NDVI + slope","-2.17 [-2.86, -1.48]","0.60 [0.06, 1.15]","1.67 [0.95, 2.39]",NA,"0.65 [0.17, 1.12]",NA,NA,"-2.09 [-2.26, -1.92]","-2.38 [-4.01, -0.74]",3.95330155765862,1,0.0467795028850709,2.3327446032811
"Turbine distance + NDVI",5,594.616726200246,9.89132583173,0.0071141969864767,0.00694535804505417,-291.995863100123,0.994638167807336,"Turbine distance + NDVI","-2.20 [-2.90, -1.50]",NA,"1.83 [1.11, 2.54]",NA,"0.84 [0.38, 1.30]",NA,NA,"-2.09 [-2.27, -1.92]","-2.51 [-4.14, -0.88]",7.76466393560645,1,0.00532782085832674,16.0549551628157
"NDVI + slope",5,595.315271153474,10.5898707849584,0.00501693849697809,0.00489787311452918,-292.345135576737,0.999536040921865,"NDVI + slope","-1.96 [-2.55, -1.36]","0.83 [0.30, 1.36]","1.38 [0.77, 1.99]",NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.41 [-4.03, -0.79]",NA,NA,NA,NA
"NDVI",4,600.168761269873,15.4433609013571,0.000443115344411153,0.000432599030929719,-295.878195067926,0.999968639952795,"NDVI","-1.88 [-2.44, -1.31]",NA,"1.40 [0.84, 1.97]",NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.51 [-4.11, -0.90]",NA,NA,NA,NA
"Biotic community + slope",5,606.739096839463,22.0136964709477,1.65877143588624e-05,1.61940434866202e-05,-298.057048419732,0.999984833996281,"Biotic community + slope","-1.86 [-2.45, -1.28]","0.92 [0.42, 1.42]",NA,"1.15 [0.31, 1.99]",NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.71 [-4.29, -1.12]",NA,NA,NA,NA
"Slope",4,608.439727628701,23.7143272601855,7.08760106009047e-06,6.91939331120671e-06,-300.01367824734,0.999991753389593,"Slope","-1.39 [-1.81, -0.98]","0.91 [0.41, 1.41]",NA,NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.88 [-4.45, -1.31]",NA,NA,NA,NA
"Turbine distance x biotic community + slope",7,609.468351803377,24.7429514348613,4.23776005414652e-06,4.13718666225073e-06,-297.138431220837,0.999995890576255,"Turbine distance x biotic community + slope","-1.95 [-2.58, -1.32]","0.78 [0.28, 1.28]",NA,"1.28 [0.40, 2.16]","0.51 [-0.07, 1.08]",NA,"-0.29 [-1.08, 0.51]","-2.09 [-2.27, -1.92]","-2.80 [-4.41, -1.20]",1.83723439778851,2,0.399070494842749,0.255475827619517
"Turbine distance + slope",5,609.59335845216,24.8679580836448,3.98099391752908e-06,3.88651427349859e-06,-299.48417922608,0.999999777090528,"Turbine distance + slope","-1.40 [-1.82, -0.98]","0.82 [0.33, 1.31]",NA,NA,"0.29 [-0.11, 0.68]",NA,NA,"-2.09 [-2.27, -1.92]","-2.95 [-4.52, -1.38]",1.0589980425201,1,0.303443819479182,0.561684254485716
"Turbine distance",4,616.298230005882,31.5728296373662,1.39330807856881e-07,1.36024114754228e-07,-303.942929435931,0.999999913114643,"Turbine distance","-1.28 [-1.67, -0.89]",NA,NA,NA,"0.45 [0.08, 0.81]",NA,NA,"-2.10 [-2.27, -1.92]","-3.12 [-4.68, -1.56]",3.0639585221511,1,0.0800464414213985,1.56555856938232
"Null",3,617.194715353196,32.4693149846803,8.89975057987473e-08,8.68853567119468e-08,-305.474908697006,1,"Null","-1.27 [-1.65, -0.89]",NA,NA,NA,NA,NA,NA,"-2.10 [-2.27, -1.92]","-2.98 [-4.56, -1.40]",NA,NA,NA,NA
