"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(slope)_psi","psi(NDVI_1_5km)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(as.factor(turbine_interior)1)_psi","psi(as.factor(turbine_interior)1:NDVI_1_5km)_psi","psi(as.factor(turbine_interior)1:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(as.factor(cam_moved)yes)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Turbine interior + NDVI + slope",6,592.531580323162,0,1,0.526107115840545,-289.823684898423,0.526107115840545,"Turbine interior + NDVI + slope","-1.61 [-2.24, -0.99]","0.80 [0.25, 1.34]","1.51 [0.86, 2.16]",NA,"-1.81 [-3.13, -0.50]",NA,NA,"-2.09 [-2.27, -1.92]","-2.35 [-3.97, -0.74]",5.04290135662745,1,0.0247270426972144,4.02226595873825
"Turbine interior x NDVI + slope",7,594.080541372929,1.54896104976615,0.460943167321704,0.242505480326027,-289.444526005613,0.768612596166572,"Turbine interior x NDVI + slope","-1.55 [-2.16, -0.94]","0.74 [0.20, 1.27]","1.40 [0.74, 2.05]",NA,"-3.58 [-7.53, 0.37]","1.74 [-1.56, 5.04]",NA,"-2.09 [-2.27, -1.92]","-2.35 [-3.97, -0.74]",5.80121914224765,2,0.0549896897109245,1.85403601083108
"NDVI + slope",5,595.315271153474,2.78369083031168,0.248616081148868,0.13079868940481,-292.345135576737,0.899411285571382,"NDVI + slope","-1.96 [-2.55, -1.36]","0.83 [0.30, 1.36]","1.38 [0.77, 1.99]",NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.41 [-4.03, -0.79]",NA,NA,NA,NA
"Turbine interior + NDVI",5,596.128995289873,3.59741496671097,0.165512677919541,0.0870773976152948,-292.751997644937,0.986488683186677,"Turbine interior + NDVI","-1.50 [-2.10, -0.91]",NA,"1.53 [0.92, 2.14]",NA,"-1.88 [-3.12, -0.64]",NA,NA,"-2.10 [-2.27, -1.92]","-2.46 [-4.06, -0.86]",6.25239484597876,1,0.0124025512754303,7.53744292586205
"NDVI",4,600.168761269873,7.63718094671037,0.0219587305068199,0.0115526443744628,-295.878195067926,0.99804132756114,"NDVI","-1.88 [-2.44, -1.31]",NA,"1.40 [0.84, 1.97]",NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.51 [-4.11, -0.90]",NA,NA,NA,NA
"Turbine interior x biotic community + slope",7,605.041800799985,12.5102204768225,0.00192061421892502,0.00101044880736098,-294.925155719141,0.999051776368501,"Turbine interior x biotic community + slope","-1.56 [-2.17, -0.95]","0.85 [0.34, 1.35]",NA,"1.36 [0.39, 2.33]","-8.21 [-64.14, 47.73]",NA,"6.78 [-49.17, 62.73]","-2.10 [-2.27, -1.92]","-2.72 [-4.31, -1.13]",6.2637854011806,2,0.0436351308081764,2.33648583286422
"Biotic community + slope",5,606.739096839463,14.207516516301,0.000822009785768997,0.000432465197583631,-298.057048419732,0.999484241566085,"Biotic community + slope","-1.86 [-2.45, -1.28]","0.92 [0.42, 1.42]",NA,"1.15 [0.31, 1.99]",NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.71 [-4.29, -1.12]",NA,NA,NA,NA
"Turbine interior + slope",5,607.387565142401,14.8559848192384,0.000594379585647806,0.000312707329519665,-298.3812825712,0.999796948895604,"Turbine interior + slope","-1.10 [-1.56, -0.64]","0.87 [0.36, 1.38]",NA,NA,"-1.31 [-2.48, -0.15]",NA,NA,"-2.09 [-2.27, -1.92]","-2.94 [-4.51, -1.38]",3.26479135227976,1,0.0707820265276912,1.69228763393236
"Slope",4,608.439727628701,15.9081473055388,0.000351228463607365,0.000184783793989577,-300.01367824734,0.999981732689594,"Slope","-1.39 [-1.81, -0.98]","0.91 [0.41, 1.41]",NA,NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.88 [-4.45, -1.31]",NA,NA,NA,NA
"Turbine interior",4,614.628590389198,22.0970100660359,1.59109177565817e-05,8.3708470512913e-06,-303.108109627589,0.999990103536645,"Turbine interior","-0.95 [-1.37, -0.53]",NA,NA,NA,"-1.50 [-2.64, -0.36]",NA,NA,"-2.10 [-2.27, -1.92]","-3.07 [-4.64, -1.50]",4.73359813883474,1,0.0295789443301249,3.60767125329087
"Biotic community",4,614.828084331781,22.2965040086185,1.4400437004483e-05,7.57617237927199e-06,-303.20785659888,0.999997679709024,"Biotic community","-1.73 [-2.26, -1.20]",NA,NA,"1.15 [0.37, 1.93]",NA,NA,NA,"-2.10 [-2.27, -1.92]","-2.75 [-4.36, -1.13]",NA,NA,NA,NA
"Null",3,617.194715353196,24.6631350300336,4.41030144918775e-06,2.32029097541954e-06,-305.474908697006,1,"Null","-1.27 [-1.65, -0.89]",NA,NA,NA,NA,NA,NA,"-2.10 [-2.27, -1.92]","-2.98 [-4.56, -1.40]",NA,NA,NA,NA
