Modnames,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt,Model,psi(Int)_psi,psi(slope)_psi,psi(NDVI_1_5km)_psi,psi(as.factor(biotic_com_2)2)_psi,psi(canopy_cov)_psi,psi(X50cm_turbine_vis)_psi,psi(X50cm_turbine_vis:NDVI_1_5km)_psi,psi(X50cm_turbine_vis:as.factor(biotic_com_2)2)_psi,psi(X50cm_turbine_vis:canopy_cov)_psi,p(Int)_det,p(as.factor(cam_moved)yes)_det,LRT_stat,LRT_df,LRT_p,Evidence_Ratio_vs_NonWind
Turbine visibility + NDVI + slope,6,593.7377683,0,1,0.353150923,-290.4267789,0.353150923,Turbine visibility + NDVI + slope,"-2.96 [-4.48, -1.44]","0.77 [0.20, 1.34]","0.91 [0.22, 1.59]",NA,NA,"-2.62 [-5.34, 0.10]",NA,NA,NA,"-2.09 [-2.26, -1.92]","-2.41 [-4.02, -0.79]",3.836713366,1,0.050141719,2.200647027
NDVI + slope,5,595.3152712,1.57750284,0.454411811,0.16047595,-292.3451356,0.513626873,NDVI + slope,"-1.96 [-2.55, -1.36]","0.83 [0.30, 1.36]","1.38 [0.77, 1.99]",NA,NA,NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.41 [-4.03, -0.79]",NA,NA,NA,NA
Turbine visibility + slope,5,595.5945239,1.856755565,0.395194282,0.139563225,-292.4847619,0.653190098,Turbine visibility + slope,"-3.24 [-4.91, -1.57]","0.85 [0.26, 1.44]",NA,NA,NA,"-4.11 [-6.97, -1.25]",NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.71 [-4.26, -1.16]",15.05783262,1,0.000104267,615.6027539
Turbine visibility x NDVI + slope,7,595.8596057,2.121837347,0.346137677,0.12223884,-290.3340581,0.775428938,Turbine visibility x NDVI + slope,"-3.02 [-4.75, -1.30]","0.79 [0.20, 1.39]","1.51 [-0.70, 3.72]",NA,NA,"-2.81 [-5.89, 0.28]","1.09 [-2.70, 4.87]",NA,NA,"-2.09 [-2.26, -1.92]","-2.45 [-4.07, -0.83]",4.022154855,2,0.133844389,0.761726849
Turbine visibility x biotic community + slope,7,597.0609353,3.323167004,0.189838133,0.067041512,-290.934723,0.84247045,Turbine visibility x biotic community + slope,"-2.85 [-4.25, -1.45]","0.95 [0.37, 1.53]",NA,"-12.83 [-25.50, -0.16]",NA,"-3.14 [-5.70, -0.59]",NA,"-21.22 [-41.60, -0.84]",NA,"-2.09 [-2.27, -1.92]","-2.58 [-4.14, -1.02]",14.24465088,2,0.000806888,126.3531496
Turbine visibility + NDVI,5,597.0799375,3.342169156,0.188043008,0.066407562,-293.2274687,0.908878012,Turbine visibility + NDVI,"-3.21 [-4.88, -1.55]",NA,"0.98 [0.35, 1.60]",NA,NA,"-3.18 [-6.07, -0.28]",NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.42 [-4.03, -0.81]",5.301452666,1,0.021307647,4.685215442
Turbine visibility x canopy cover + slope,7,597.1045112,3.366742896,0.185746684,0.065596613,-290.9565109,0.974474625,Turbine visibility x canopy cover + slope,"-6.34 [-10.05, -2.63]","0.92 [0.34, 1.51]",NA,NA,"-5.37 [-10.72, -0.01]","-8.94 [-14.96, -2.92]",NA,NA,"-8.80 [-17.29, -0.30]","-2.09 [-2.27, -1.92]","-2.60 [-4.17, -1.04]",14.23656237,2,0.000810158,125.8431771
NDVI,4,600.1687613,6.430992957,0.040135403,0.014173854,-295.8781951,0.988648479,NDVI,"-1.88 [-2.44, -1.31]",NA,"1.40 [0.84, 1.97]",NA,NA,NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.51 [-4.11, -0.90]",NA,NA,NA,NA
Turbine visibility,4,600.8565447,7.118776435,0.028456228,0.010049343,-296.2220868,0.998697823,Turbine visibility,"-3.45 [-5.21, -1.68]",NA,NA,NA,NA,"-4.71 [-7.71, -1.71]",NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.73 [-4.30, -1.16]",18.50564378,1,1.69401928458589e-05,3530.1135
Biotic community + slope,5,606.7390968,13.00132853,0.001502441,0.000530588,-298.0570484,0.999228411,Biotic community + slope,"-1.86 [-2.45, -1.28]","0.92 [0.42, 1.42]",NA,"1.15 [0.31, 1.99]",NA,NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.71 [-4.29, -1.12]",NA,NA,NA,NA
Canopy cover + slope,5,606.7745842,13.03681591,0.001476017,0.000521257,-298.0747921,0.999749668,Canopy cover + slope,"-1.53 [-1.98, -1.08]","0.89 [0.39, 1.40]",NA,NA,"0.50 [0.14, 0.86]",NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.69 [-4.28, -1.10]",NA,NA,NA,NA
Slope,4,608.4397276,14.70195932,0.000641963,0.00022671,-300.0136782,0.999976378,Slope,"-1.39 [-1.81, -0.98]","0.91 [0.41, 1.41]",NA,NA,NA,NA,NA,NA,NA,"-2.09 [-2.27, -1.92]","-2.88 [-4.45, -1.31]",NA,NA,NA,NA
Canopy cover,4,614.4057766,20.66800831,3.25086563335602e-05,1.14804619849767e-05,-302.9967027,0.999987858,Canopy cover,"-1.40 [-1.81, -0.99]",NA,NA,NA,"0.53 [0.19, 0.88]",NA,NA,NA,NA,"-2.10 [-2.27, -1.92]","-2.72 [-4.34, -1.11]",NA,NA,NA,NA
Biotic community,4,614.8280843,21.09031602,2.63206170076984e-05,9.29515018638482e-06,-303.2078566,0.999997153,Biotic community,"-1.73 [-2.26, -1.20]",NA,NA,"1.15 [0.37, 1.93]",NA,NA,NA,NA,NA,"-2.10 [-2.27, -1.92]","-2.75 [-4.36, -1.13]",NA,NA,NA,NA
Null,3,617.1947154,23.45694704,8.06099532232465e-06,2.84674793720974e-06,-305.4749087,1,Null,"-1.27 [-1.65, -0.89]",NA,NA,NA,NA,NA,NA,NA,NA,"-2.10 [-2.27, -1.92]","-2.98 [-4.56, -1.40]",NA,NA,NA,NA
