"p(Int)_psi","psi(Int).x","p(as.factor(precip.cat))","p(veg_cover_cam_under_1m)_psi","psi(slope).x","psi(woodland_percent_0_9km).x","psi(as.factor(biotic_com_2))","psi(turbine_density_0_9km).x","psi(turbine_density_0_9km:woodland_percent_0_9km)","psi(as.factor(biotic_com_2):turbine_density_0_9km)","df","logLik","AICc","delta","weight","Model","psi(Int).y","psi(woodland_percent_0_9km).y","psi(slope).y","psi(as.factor(biotic_com_2)2)","psi(turbine_density_0_9km).y","psi(woodland_percent_0_9km:turbine_density_0_9km)","psi(turbine_density_0_9km:as.factor(biotic_com_2)2)","p(Int)_det","p(as.factor(precip.cat)1)","p(veg_cover_cam_under_1m)_det","LRT_stat","LRT_p","Evidence_Ratio_vs_NonWind"
-1.52261785439521,1.90258947766892,"+",-0.172014217102585,-0.589965990324746,-0.789541413426703,NA,NA,NA,NA,6,-1641.75777831829,3296.39976716289,0,0.460481338032995,"Percent wooodland + slope","1.90 [1.43, 2.38]","-0.79 [-1.17, -0.40]","-0.59 [-1.00, -0.18]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52269737521902,1.92805697787049,"+",-0.17204106011709,-0.648267969881771,-0.777611548220902,NA,-0.247884650380115,NA,NA,7,-1641.40025340802,3297.99199617775,1.59222901485691,0.207713104438917,"Turbine density + percent wooodland + slope","1.93 [1.45, 2.41]","-0.78 [-1.17, -0.39]","-0.65 [-1.08, -0.22]",NA,"-0.25 [-0.66, 0.16]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.715049820529657,0.397772473901711,0.451078224638136
-1.52258650806761,1.83369936993644,"+",-0.172062907806175,NA,-0.826611406560374,NA,NA,NA,NA,5,-1644.16361901329,3298.95223802658,2.55247086368536,0.128513877882245,"Percent woodland","1.83 [1.38, 2.28]","-0.83 [-1.19, -0.46]",NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.5226599259342,1.93771157572829,"+",-0.171986306134509,-0.655243373368148,-0.7416083456907,NA,-0.125273503315458,-0.288894280845086,NA,8,-1640.83081608139,3299.21001925956,2.81025209667087,0.11297270954517,"Turbine density x percent wooodland + slope","1.94 [1.46, 2.42]","-0.74 [-1.14, -0.34]","-0.66 [-1.08, -0.23]",NA,"-0.13 [-0.63, 0.37]","-0.29 [-0.70, 0.13]",NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",1.85392447378763,0.39575409339291,0.245336130293027
-1.52261405388459,1.8374074872681,"+",-0.1720819234518,NA,-0.822107057833309,NA,-0.103346030918175,NA,NA,6,-1644.09492614926,3301.07406282483,4.67429566193914,0.0444837742222055,"Turbine density + percent wooodland","1.84 [1.39, 2.29]","-0.82 [-1.19, -0.45]",NA,NA,"-0.10 [-0.50, 0.29]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.137385728061872,0.710893909318716,0.346139848514767
-1.52262384358782,2.03073419252891,"+",-0.172177159299906,-0.605000519027607,NA,"+",NA,NA,NA,6,-1645.06542283235,3303.01505619102,6.61528902813143,0.0168546707690791,"Biotic community + slope","2.03 [1.49, 2.57]",NA,"-0.61 [-0.99, -0.22]","-0.91 [-1.74, -0.08]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52269653217369,1.70836315672636,"+",-0.172338633629898,-0.611982532999485,NA,NA,NA,NA,NA,5,-1646.29402096133,3303.21304192266,6.81327475976468,0.0152661040560283,"Slope","1.71 [1.30, 2.12]",NA,"-0.61 [-0.98, -0.25]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52275369849288,1.73845594292213,"+",-0.172312953321828,-0.669654442818701,NA,NA,-0.283204698732543,NA,NA,6,-1645.74364542351,3304.37150137334,7.97173421044818,0.00855405315815377,"Turbine density + slope","1.74 [1.32, 2.16]",NA,"-0.67 [-1.05, -0.29]",NA,"-0.28 [-0.66, 0.09]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",1.10075107563216,0.294101333685023,0.560329808231323
-1.5226751549722,2.04410520882872,"+",-0.172171286569327,-0.651969258467732,NA,"+",0.00513788279247404,NA,"+",8,-1644.42878082643,3306.40594874963,10.0061815867343,0.00309312385349914,"Turbine density x biotic community + slope","2.04 [1.49, 2.60]",NA,"-0.65 [-1.04, -0.26]","-0.73 [-1.62, 0.16]","0.01 [-0.60, 0.61]",NA,"-0.47 [-1.30, 0.37]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",1.27328401185559,0.529066045115195,0.183517310772611
-1.52278995722471,1.61407117725818,"+",-0.172626458892585,NA,NA,NA,NA,NA,NA,4,-1649.72873896069,3307.86984905541,11.470081892518,0.00148770011900116,"Base Detection Submodel","1.61 [1.23, 2.00]",NA,NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52284376900509,1.62125404067066,"+",-0.172644805991802,NA,NA,NA,-0.146519283393442,NA,NA,5,-1649.56516973581,3309.75533947161,13.355572308722,0.000579543922706245,"Turbine density","1.62 [1.23, 2.01]",NA,NA,NA,"-0.15 [-0.51, 0.21]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.327138449775248,0.56734895065106,0.389556951232449
