"p(Int)_psi","psi(Int).x","p(as.factor(precip.cat))","p(veg_cover_cam_under_1m)_psi","psi(slope).x","psi(woodland_percent_0_9km).x","psi(as.factor(biotic_com_2))","psi(turbine_dist).x","psi(turbine_dist:woodland_percent_0_9km)","psi(as.factor(biotic_com_2):turbine_dist)","df","logLik","AICc","delta","weight","Model","psi(Int).y","psi(woodland_percent_0_9km).y","psi(slope).y","psi(as.factor(biotic_com_2)2)","psi(turbine_dist).y","psi(woodland_percent_0_9km:turbine_dist)","psi(turbine_dist:as.factor(biotic_com_2)2)","p(Int)_det","p(as.factor(precip.cat)1)","p(veg_cover_cam_under_1m)_det","LRT_stat","LRT_p","Evidence_Ratio_vs_NonWind"
-1.52261785439521,1.90258947766892,"+",-0.172014217102585,-0.589965990324746,-0.789541413426703,NA,NA,NA,NA,6,-1641.75777831829,3296.39976716289,0,0.395297654557019,"Percent wooodland + slope","1.90 [1.43, 2.38]","-0.79 [-1.17, -0.40]","-0.59 [-1.00, -0.18]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52253078750802,1.98128471574968,"+",-0.172013872142953,-0.753763625554349,-0.699152662307203,NA,0.559768908833367,NA,NA,7,-1640.91222599167,3297.01594134504,0.616174182144277,0.290485001755092,"Turbine distance + percent wooodland + slope","1.98 [1.47, 2.49]","-0.70 [-1.09, -0.30]","-0.75 [-1.22, -0.28]",NA,"0.56 [-0.14, 1.26]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",1.69110465324229,0.193455415563982,0.734851316233124
-1.52258650806761,1.83369936993644,"+",-0.172062907806175,NA,-0.826611406560374,NA,NA,NA,NA,5,-1644.16361901329,3298.95223802658,2.55247086368536,0.110322026777204,"Percent woodland","1.83 [1.38, 2.28]","-0.83 [-1.19, -0.46]",NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52252871070986,1.97803331749483,"+",-0.172007856839924,-0.753440911300771,-0.714641887117076,NA,0.558551751576657,-0.0374834501384167,NA,8,-1640.90991525172,3299.36821760022,2.96845043732901,0.0896052416023921,"Turbine distance x percent wooodland + slope","1.98 [1.46, 2.50]","-0.71 [-1.23, -0.20]","-0.75 [-1.22, -0.28]",NA,"0.56 [-0.15, 1.26]","-0.04 [-0.83, 0.76]",NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",1.69572613312948,0.428329265794879,0.226677898463137
-1.52255749707978,1.84755049820106,"+",-0.172054861631346,NA,-0.790974289861942,NA,0.187097260737761,NA,NA,6,-1644.02560949475,3300.93542951581,4.53566235292237,0.0409277313127943,"Turbine distance + percent wooodland","1.85 [1.39, 2.30]","-0.79 [-1.17, -0.41]",NA,NA,"0.19 [-0.35, 0.72]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.27601903707864,0.599322432281735,0.370984222357048
-1.52252878937748,1.85385543479319,"+",-0.172226044905977,-0.805207492277117,NA,NA,0.782897769596948,NA,NA,6,-1644.27430775176,3301.43282602984,5.03305886695262,0.0319160686845406,"Turbine distance + slope","1.85 [1.38, 2.33]",NA,"-0.81 [-1.25, -0.36]",NA,"0.78 [0.10, 1.47]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",4.03942641912772,0.044448926604606,2.43539252897205
-1.52262384358782,2.03073419252891,"+",-0.172177159299906,-0.605000519027607,NA,"+",NA,NA,NA,6,-1645.06542283235,3303.01505619102,6.61528902813143,0.0144687987830472,"Biotic community + slope","2.03 [1.49, 2.57]",NA,"-0.61 [-0.99, -0.22]","-0.91 [-1.74, -0.08]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52269653217369,1.70836315672636,"+",-0.172338633629898,-0.611982532999485,NA,NA,NA,NA,NA,5,-1646.29402096133,3303.21304192266,6.81327475976468,0.0131051024854757,"Slope","1.71 [1.30, 2.12]",NA,"-0.61 [-0.98, -0.25]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52255313660286,2.03949026618504,"+",-0.172125869779793,-0.737016587802939,NA,"+",0.372342183311265,NA,"+",8,-1642.95593353663,3303.46025417002,7.06048700713291,0.0115813440672674,"Turbine distance x biotic community + slope","2.04 [1.49, 2.59]",NA,"-0.74 [-1.17, -0.30]","0.11 [-1.78, 2.00]","0.37 [-0.34, 1.08]",NA,"1.65 [-1.09, 4.39]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",4.21897859145702,0.121299898993972,0.800435768091339
-1.52278995722471,1.61407117725818,"+",-0.172626458892585,NA,NA,NA,NA,NA,NA,4,-1649.72873896069,3307.86984905541,11.470081892518,0.00127710792849377,"Null","1.61 [1.23, 2.00]",NA,NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
