"p(Int)_psi","psi(Int).x","p(as.factor(precip.cat))","p(veg_cover_cam_under_1m)_psi","psi(slope).x","psi(woodland_percent_0_9km).x","psi(as.factor(biotic_com_2))","psi(as.factor(turbine_interior))","psi(as.factor(turbine_interior):woodland_percent_0_9km)","psi(as.factor(biotic_com_2):as.factor(turbine_interior))","df","logLik","AICc","delta","weight","Model","psi(Int).y","psi(woodland_percent_0_9km).y","psi(slope).y","psi(as.factor(biotic_com_2)2)","psi(as.factor(turbine_interior)1)","psi(as.factor(turbine_interior)1:woodland_percent_0_9km)","psi(as.factor(turbine_interior)1:as.factor(biotic_com_2)2)","p(Int)_det","p(as.factor(precip.cat)1)","p(veg_cover_cam_under_1m)_det","LRT_stat","LRT_p","Evidence_Ratio_vs_NonWind"
-1.52276133805498,2.27133663488151,"+",-0.172061984527594,-0.674866378763011,-0.787440266757683,NA,"+",NA,NA,7,-1640.39030506444,3295.97209949058,0,0.372858774268482,"Turbine interior + percent wooodland + slope","2.27 [1.65, 2.89]","-0.79 [-1.18, -0.39]","-0.67 [-1.11, -0.24]",NA,"-1.06 [-1.97, -0.14]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",2.73494650769908,0.0981747886000697,1.23841685759068
-1.52261785439521,1.90258947766892,"+",-0.172014217102585,-0.589965990324746,-0.789541413426703,NA,NA,NA,NA,6,-1641.75777831829,3296.39976716289,0.427667672312509,0.301076953194801,"Percent wooodland + slope","1.90 [1.43, 2.38]","-0.79 [-1.17, -0.40]","-0.59 [-1.00, -0.18]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52269485815916,2.21183412119272,"+",-0.172016170852505,-0.653554091333032,-0.678968664084048,NA,"+","+",NA,8,-1640.23800812193,3298.02440334063,2.05230385005416,0.133626394024999,"Turbine interior x percent wooodland + slope","2.21 [1.60, 2.83]","-0.68 [-1.16, -0.20]","-0.65 [-1.08, -0.22]",NA,"-0.91 [-1.92, 0.11]","-0.33 [-1.18, 0.53]",NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",3.03954039271684,0.218762153515791,0.443828039997938
-1.52258650806761,1.83369936993644,"+",-0.172062907806175,NA,-0.826611406560374,NA,NA,NA,NA,5,-1644.16361901329,3298.95223802658,2.98013853599787,0.0840263515592515,"Percent woodland","1.83 [1.38, 2.28]","-0.83 [-1.19, -0.46]",NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52264966275897,2.10177474027014,"+",-0.172047270520874,NA,-0.833575187531336,NA,"+",NA,NA,6,-1643.29314301247,3299.47049655126,3.49839706067814,0.0648450901059373,"Turbine interior + percent wooodland","2.10 [1.53, 2.67]","-0.83 [-1.20, -0.46]",NA,NA,"-0.80 [-1.66, 0.06]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",1.74095200163538,0.187018247043295,0.771723261841394
-1.52273860675527,2.09115180120955,"+",-0.172265421012902,-0.699869318871372,NA,NA,"+",NA,NA,6,-1644.68768004384,3302.25957061399,6.28747112341262,0.0160781975527651,"Turbine interior + slope","2.09 [1.53, 2.65]",NA,"-0.70 [-1.08, -0.32]",NA,"-1.08 [-1.93, -0.22]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",3.21268183498023,0.0730696259058876,1.61080757776407
-1.52262384358782,2.03073419252891,"+",-0.172177159299906,-0.605000519027607,NA,"+",NA,NA,NA,6,-1645.06542283235,3303.01505619102,7.04295670044394,0.0110201054920758,"Biotic community + slope","2.03 [1.49, 2.57]",NA,"-0.61 [-0.99, -0.22]","-0.91 [-1.74, -0.08]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52269653217369,1.70836315672636,"+",-0.172338633629898,-0.611982532999485,NA,NA,NA,NA,NA,5,-1646.29402096133,3303.21304192266,7.24094243207719,0.0099814514003485,"Slope","1.71 [1.30, 2.12]",NA,"-0.61 [-0.98, -0.25]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52267280971755,2.12469130025858,"+",-0.172137430408143,-0.652930826652229,NA,"+","+",NA,"+",8,-1643.58093301355,3304.71025312388,8.73815363329777,0.00472148283414302,"Turbine interior x biotic community + slope","2.12 [1.49, 2.76]",NA,"-0.65 [-1.03, -0.27]","-0.22 [-1.43, 0.98]","-0.38 [-1.66, 0.91]",NA,"-1.14 [-2.99, 0.70]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",2.96897963760466,0.226617927394488,0.428442616773324
-1.52278995722471,1.61407117725818,"+",-0.172626458892585,NA,NA,NA,NA,NA,NA,4,-1649.72873896069,3307.86984905541,11.8977495648305,0.000972704390170788,"Null","1.61 [1.23, 2.00]",NA,NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
