"p(Int)_psi","psi(Int).x","p(as.factor(precip.cat))","p(veg_cover_cam_under_1m)_psi","psi(slope).x","psi(woodland_percent_0_9km).x","psi(as.factor(biotic_com_2))","psi(turbine_rd_dist).x","psi(turbine_rd_dist:woodland_percent_0_9km)","psi(as.factor(biotic_com_2):turbine_rd_dist)","df","logLik","AICc","delta","weight","Model","psi(Int).y","psi(woodland_percent_0_9km).y","psi(slope).y","psi(as.factor(biotic_com_2)2)","psi(turbine_rd_dist).y","psi(woodland_percent_0_9km:turbine_rd_dist)","psi(turbine_rd_dist:as.factor(biotic_com_2)2)","p(Int)_det","p(as.factor(precip.cat)1)","p(veg_cover_cam_under_1m)_det","LRT_stat","LRT_p","Evidence_Ratio_vs_NonWind"
-1.52258036340947,2.42699471436482,"+",-0.172026013729549,-0.65139616953676,-0.65898788042697,NA,1.65216674966839,NA,NA,7,-1639.23750302625,3293.6664954142,0,0.475693793461629,"Turbine road distance + percent wooodland + slope","2.43 [1.59, 3.26]","-0.66 [-1.07, -0.25]","-0.65 [-1.09, -0.21]",NA,"1.65 [0.16, 3.15]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",5.04055058408267,0.0247606191034667,3.92213392514934
-1.52262522640918,2.4197792952029,"+",-0.172065088932751,-0.649077194047727,-0.579602022615875,NA,1.6238778582913,0.182719323141615,NA,8,-1639.21708425812,3295.98255561302,2.31606019882611,0.149417478442715,"Turbine road distance x percent wooodland + slope","2.42 [1.61, 3.23]","-0.58 [-1.28, 0.12]","-0.65 [-1.08, -0.21]",NA,"1.62 [0.16, 3.09]","0.18 [-1.13, 1.49]",NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",5.08138812032848,0.0788116807556309,1.23195923357725
-1.52261785439521,1.90258947766892,"+",-0.172014217102585,-0.589965990324746,-0.789541413426703,NA,NA,NA,NA,6,-1641.75777831829,3296.39976716289,2.7332717486961,0.121284434070801,"Percent wooodland + slope","1.90 [1.43, 2.38]","-0.79 [-1.17, -0.40]","-0.59 [-1.00, -0.18]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52258242042817,2.34591174369079,"+",-0.172201080097353,-0.692060212029307,NA,NA,1.95010796414687,NA,NA,6,-1642.00959083775,3296.90339220181,3.23689678761821,0.0942853632049965,"Turbine road distance + slope","2.35 [1.54, 3.15]",NA,"-0.69 [-1.10, -0.29]",NA,"1.95 [0.48, 3.42]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",8.56886024715823,0.00341961157366548,23.448929896072
-1.52258853385301,2.2615944637144,"+",-0.172128010320479,NA,-0.726000928840764,NA,1.40214948476204,NA,NA,6,-1642.01805592928,3296.92032238488,3.25382697068699,0.0934905976028206,"Turbine road distance + percent wooodland","2.26 [1.52, 3.01]","-0.73 [-1.11, -0.34]",NA,NA,"1.40 [0.06, 2.74]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",4.29112616801012,0.0383117808373549,2.76200763931625
-1.52258650806761,1.83369936993644,"+",-0.172062907806175,NA,-0.826611406560374,NA,NA,NA,NA,5,-1644.16361901329,3298.95223802658,5.28574261238145,0.0338487831358658,"Percent woodland","1.83 [1.38, 2.28]","-0.83 [-1.19, -0.46]",NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52259321338013,2.52236138261991,"+",-0.172167575358899,-0.684803498054239,NA,"+",1.78935814785325,NA,"+",8,-1641.39207819158,3300.33254347993,6.66604806573469,0.0169751468322098,"Turbine road distance x biotic community + slope","2.52 [1.61, 3.43]",NA,"-0.68 [-1.10, -0.27]","-0.78 [-2.53, 0.96]","1.79 [0.09, 3.49]",NA,"-0.22 [-3.32, 2.88]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",7.34668928155133,0.0253914026455606,3.82384459716396
-1.52257138256741,2.10061694125061,"+",-0.17236830630663,NA,NA,NA,1.62166156998818,NA,NA,5,-1645.86868071844,3302.36236143688,8.69586602268373,0.00615239443359754,"Turbine road distance","2.10 [1.42, 2.79]",NA,NA,NA,"1.62 [0.35, 2.89]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",7.72011648450962,0.00546088727781167,15.701304675708
-1.52262384358782,2.03073419252891,"+",-0.172177159299906,-0.605000519027607,NA,"+",NA,NA,NA,6,-1645.06542283235,3303.01505619102,9.34856077682753,0.00443928784260735,"Biotic community + slope","2.03 [1.49, 2.57]",NA,"-0.61 [-0.99, -0.22]","-0.91 [-1.74, -0.08]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52269653217369,1.70836315672636,"+",-0.172338633629898,-0.611982532999485,NA,NA,NA,NA,NA,5,-1646.29402096133,3303.21304192266,9.54654650846078,0.00402088127786124,"Slope","1.71 [1.30, 2.12]",NA,"-0.61 [-0.98, -0.25]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52278995722471,1.61407117725818,"+",-0.172626458892585,NA,NA,NA,NA,NA,NA,4,-1649.72873896069,3307.86984905541,14.2033536412141,0.000391839694895934,"Null","1.61 [1.23, 2.00]",NA,NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
