"p(Int)_psi","psi(Int).x","p(as.factor(precip.cat))","p(veg_cover_cam_under_1m)_psi","psi(slope).x","psi(woodland_percent_0_9km).x","psi(as.factor(biotic_com_2))","psi(canopy_cov).x","psi(X50cm_turbine_vis).x","psi(woodland_percent_0_9km:X50cm_turbine_vis)","psi(as.factor(biotic_com_2):X50cm_turbine_vis)","psi(canopy_cov:X50cm_turbine_vis)","df","logLik","AICc","delta","weight","Model","psi(Int).y","psi(woodland_percent_0_9km).y","psi(slope).y","psi(as.factor(biotic_com_2)2)","psi(canopy_cov).y","psi(X50cm_turbine_vis).y","psi(X50cm_turbine_vis:woodland_percent_0_9km)","psi(X50cm_turbine_vis:as.factor(biotic_com_2)2)","psi(X50cm_turbine_vis:canopy_cov)","p(Int)_det","p(as.factor(precip.cat)1)","p(veg_cover_cam_under_1m)_det","LRT_stat","LRT_p","Evidence_Ratio_vs_NonWind"
-1.52253813456444,1.9745691620006,"+",-0.172062390635961,-0.709035029539311,-1.04242468994586,NA,NA,-0.563405402440469,NA,NA,NA,7,-1640.45484760165,3296.10118456501,0,0.36575353579756,"Turbine visibility + percent wooodland + slope","1.97 [1.48, 2.47]","-1.04 [-1.51, -0.57]","-0.71 [-1.16, -0.26]",NA,NA,"-0.56 [-1.03, -0.09]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",2.60586143327328,0.106469290653746,1.1610111412737
-1.52261785439521,1.90258947766892,"+",-0.172014217102585,-0.589965990324746,-0.789541413426703,NA,NA,NA,NA,NA,NA,6,-1641.75777831829,3296.39976716289,0.298582597886707,0.315030168785724,"Percent wooodland + slope","1.90 [1.43, 2.38]","-0.79 [-1.17, -0.40]","-0.59 [-1.00, -0.18]",NA,NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52256017974063,2.1411401373583,"+",-0.172081266676917,-0.691332820705013,-0.787875585989635,NA,NA,-0.249499640638798,0.409774571791493,NA,NA,8,-1640.37874883148,3298.30588475974,2.20470019473532,0.121462990293198,"Turbine visibility x percent wooodland + slope","2.14 [1.30, 2.98]","-0.79 [-1.90, 0.33]","-0.69 [-1.14, -0.24]",NA,NA,"-0.25 [-1.58, 1.08]","0.41 [-1.21, 2.03]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",2.75805897360988,0.251822831883833,0.385559868000496
-1.52258650806761,1.83369936993644,"+",-0.172062907806175,NA,-0.826611406560374,NA,NA,NA,NA,NA,NA,5,-1644.16361901329,3298.95223802658,2.85105346157206,0.0879204981758688,"Percent woodland","1.83 [1.38, 2.28]","-0.83 [-1.19, -0.46]",NA,NA,NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52250289113689,1.87207673954084,"+",-0.172089119811235,NA,-0.997321854800579,NA,NA,-0.397343919401585,NA,NA,NA,6,-1643.42646385555,3299.73713823741,3.63595367240123,0.0593815083643639,"Turbine visibility + percent wooodland","1.87 [1.41, 2.34]","-1.00 [-1.43, -0.57]",NA,NA,NA,"-0.40 [-0.84, 0.05]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",1.47431031548649,0.224666852464921,0.675400044317107
-1.52264322625767,1.78546079811113,"+",-0.17213912017459,-0.586600664795997,NA,NA,-0.449491198586994,NA,NA,NA,NA,6,-1644.73314728349,3302.3505050933,6.2493205282999,0.0160755493376647,"Canopy cover + slope","1.79 [1.35, 2.22]",NA,"-0.59 [-0.96, -0.21]",NA,"-0.45 [-0.80, -0.09]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52262384358782,2.03073419252891,"+",-0.172177159299906,-0.605000519027607,NA,"+",NA,NA,NA,NA,NA,6,-1645.06542283235,3303.01505619102,6.91387162601814,0.011530825114199,"Biotic community + slope","2.03 [1.49, 2.57]",NA,"-0.61 [-0.99, -0.22]","-0.91 [-1.74, -0.08]",NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52269653217369,1.70836315672636,"+",-0.172338633629898,-0.611982532999485,NA,NA,NA,NA,NA,NA,NA,5,-1646.29402096133,3303.21304192266,7.11185735765139,0.0104440352740775,"Slope","1.71 [1.30, 2.12]",NA,"-0.61 [-0.98, -0.25]",NA,NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA
-1.52256689091324,2.55630959219292,"+",-0.17218282869276,-0.716157372807096,NA,NA,0.637046851388658,1.00281367231477,NA,NA,1.93367661135568,8,-1643.39228392916,3304.33295495509,8.23177039008124,0.00596598702976732,"Turbine visibility x canopy cover + slope","2.56 [1.43, 3.68]",NA,"-0.72 [-1.15, -0.28]",NA,"0.64 [-0.96, 2.24]","1.00 [-0.78, 2.79]",NA,NA,"1.93 [-0.58, 4.44]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",2.68172670867716,0.261619700545596,0.371121813908352
-1.5227038559819,1.70822494567109,"+",-0.172363563918617,-0.61593510299368,NA,NA,NA,-0.0242210493204014,NA,NA,NA,6,-1646.29075112897,3305.46571278426,9.36452821925741,0.00338615682204398,"Turbine visibility + slope","1.71 [1.30, 2.12]",NA,"-0.62 [-0.99, -0.24]",NA,NA,"-0.02 [-0.45, 0.40]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.00653966470963496,0.935546775054458,0.324219205812962
