"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(woodland_percent_0_9km)_psi","psi(slope)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(turbine_dist)_psi","psi(woodland_percent_0_9km:turbine_dist)_psi","psi(turbine_dist:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(as.factor(precip.cat)1)_det","p(veg_cover_cam_under_1m)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Percent wooodland + slope",6,3296.39976716289,0,1,0.395297654557019,-1641.75777831829,0.395297654557019,"Percent wooodland + slope","1.90 [1.43, 2.38]","-0.79 [-1.17, -0.40]","-0.59 [-1.00, -0.18]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine distance + percent wooodland + slope",7,3297.01594134504,0.616174182144277,0.734851316233124,0.290485001755092,-1640.91222599167,0.685782656312112,"Turbine distance + percent wooodland + slope","1.98 [1.47, 2.49]","-0.70 [-1.09, -0.30]","-0.75 [-1.22, -0.28]",NA,"0.56 [-0.14, 1.26]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",1.69110465324229,1,0.193455415563982,0.734851316233124
"Percent woodland",5,3298.95223802658,2.55247086368536,0.279085963464249,0.110322026777204,-1644.16361901329,0.796104683089315,"Percent woodland","1.83 [1.38, 2.28]","-0.83 [-1.19, -0.46]",NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine distance x percent wooodland + slope",8,3299.36821760022,2.96845043732901,0.226677898463137,0.0896052416023921,-1640.90991525172,0.885709924691707,"Turbine distance x percent wooodland + slope","1.98 [1.46, 2.50]","-0.71 [-1.23, -0.20]","-0.75 [-1.22, -0.28]",NA,"0.56 [-0.15, 1.26]","-0.04 [-0.83, 0.76]",NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",1.69572613312948,2,0.428329265794879,0.226677898463137
"Turbine distance + percent wooodland",6,3300.93542951581,4.53566235292237,0.103536489126552,0.0409277313127943,-1644.02560949475,0.926637656004502,"Turbine distance + percent wooodland","1.85 [1.39, 2.30]","-0.79 [-1.17, -0.41]",NA,NA,"0.19 [-0.35, 0.72]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.27601903707864,1,0.599322432281735,0.370984222357048
"Turbine distance + slope",6,3301.43282602984,5.03305886695262,0.0807393322895037,0.0319160686845406,-1644.27430775176,0.958553724689042,"Turbine distance + slope","1.85 [1.38, 2.33]",NA,"-0.81 [-1.25, -0.36]",NA,"0.78 [0.10, 1.47]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",4.03942641912772,1,0.044448926604606,2.43539252897205
"Biotic community + slope",6,3303.01505619102,6.61528902813143,0.0366022884685751,0.0144687987830472,-1645.06542283235,0.973022523472089,"Biotic community + slope","2.03 [1.49, 2.57]",NA,"-0.61 [-0.99, -0.22]","-0.91 [-1.74, -0.08]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Slope",5,3303.21304192266,6.81327475976468,0.0331524923925026,0.0131051024854757,-1646.29402096133,0.986127625957565,"Slope","1.71 [1.30, 2.12]",NA,"-0.61 [-0.98, -0.25]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine distance x biotic community + slope",8,3303.46025417002,7.06048700713291,0.0292977808842447,0.0115813440672674,-1642.95593353663,0.997708970024832,"Turbine distance x biotic community + slope","2.04 [1.49, 2.59]",NA,"-0.74 [-1.17, -0.30]","0.11 [-1.78, 2.00]","0.37 [-0.34, 1.08]",NA,"1.65 [-1.09, 4.39]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",4.21897859145702,2,0.121299898993972,0.800435768091339
"Null",4,3307.86984905541,11.470081892518,0.00323075007850712,0.00127710792849377,-1649.72873896069,0.998986077953326,"Null","1.61 [1.23, 2.00]",NA,NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine distance",5,3308.33139318648,11.9316260235896,0.00256495841800524,0.00101392204667375,-1648.85319659324,1,"Turbine distance","1.67 [1.26, 2.07]",NA,NA,NA,"0.42 [-0.09, 0.94]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",1.75108473490764,1,0.185740424179193,0.79392040723573
