"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(woodland_percent_0_9km)_psi","psi(slope)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(turbine_rd_density_0_9km)_psi","psi(woodland_percent_0_9km:turbine_rd_density_0_9km)_psi","psi(turbine_rd_density_0_9km:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(as.factor(precip.cat)1)_det","p(veg_cover_cam_under_1m)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Percent wooodland + slope",6,3296.39976716289,0,1,0.487366545924197,-1641.75777831829,0.487366545924197,"Percent wooodland + slope","1.90 [1.43, 2.38]","-0.79 [-1.17, -0.40]","-0.59 [-1.00, -0.18]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine road density + percent wooodland + slope",7,3298.06533222118,1.66556505828567,0.434837652958958,0.211925324960392,-1641.43692142974,0.699291870884589,"Turbine road density + percent wooodland + slope","1.94 [1.45, 2.43]","-0.79 [-1.19, -0.40]","-0.62 [-1.04, -0.21]",NA,"-0.24 [-0.65, 0.18]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.641713777100904,1,0.423090894193245,0.434837652958958
"Percent woodland",5,3298.95223802658,2.55247086368536,0.279085963464249,0.136017162029498,-1644.16361901329,0.835309032914087,"Percent woodland","1.83 [1.38, 2.28]","-0.83 [-1.19, -0.46]",NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine road density x percent wooodland + slope",8,3300.32671545866,3.92694829576567,0.140369907012355,0.0684115967323121,-1641.38916418094,0.903720629646399,"Turbine road density x percent wooodland + slope","1.95 [1.46, 2.44]","-0.80 [-1.20, -0.41]","-0.63 [-1.04, -0.21]",NA,"-0.22 [-0.65, 0.21]","-0.11 [-0.63, 0.41]",NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.737228274692825,2,0.691692257173724,0.140369907012355
"Turbine road density + percent wooodland",6,3300.98821695702,4.58844979412879,0.100839523995788,0.0491458105024674,-1644.05200321535,0.952866440148866,"Turbine road density + percent wooodland","1.85 [1.39, 2.31]","-0.83 [-1.20, -0.46]",NA,NA,"-0.13 [-0.54, 0.27]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.223231595872221,1,0.636588559738891,0.361320658137311
"Biotic community + slope",6,3303.01505619102,6.61528902813143,0.0366022884685751,0.0178387309038505,-1645.06542283235,0.970705171052717,"Biotic community + slope","2.03 [1.49, 2.57]",NA,"-0.61 [-0.99, -0.22]","-0.91 [-1.74, -0.08]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Slope",5,3303.21304192266,6.81327475976468,0.0331524923925026,0.0161574157061122,-1646.29402096133,0.986862586758829,"Slope","1.71 [1.30, 2.12]",NA,"-0.61 [-0.98, -0.25]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine road density + slope",6,3304.63068739447,8.23092023157687,0.0163184303143867,0.00795305701722734,-1645.87323843408,0.994815643776056,"Turbine road density + slope","1.73 [1.31, 2.15]",NA,"-0.64 [-1.01, -0.27]",NA,"-0.25 [-0.62, 0.13]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.841565054503462,1,0.358949547777927,0.492223333352669
"Turbine road density x biotic community + slope",8,3306.58770203455,10.1879348716616,0.00613363673969197,0.00298932935177743,-1644.51965746889,0.997804973127834,"Turbine road density x biotic community + slope","2.05 [1.50, 2.61]",NA,"-0.63 [-1.03, -0.24]","-0.94 [-1.78, -0.09]","-0.36 [-0.85, 0.12]",NA,"0.41 [-0.39, 1.20]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",1.09153072692834,2,0.579398163410777,0.167575225384009
"Base Detection Submodel",4,3307.86984905541,11.470081892518,0.00323075007850712,0.00157455950650635,-1649.72873896069,0.99937953263434,"Base Detection Submodel","1.61 [1.23, 2.00]",NA,NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine road density",5,3309.73236470359,13.3325975406992,0.00127310208476287,0.000620467365659775,-1649.5536823518,1,"Turbine road density","1.62 [1.24, 2.01]",NA,NA,NA,"-0.15 [-0.52, 0.21]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.350113217798025,1,0.554049047221509,0.394057743194779
