"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(woodland_percent_0_9km)_psi","psi(slope)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(turbine_rd_dist)_psi","psi(woodland_percent_0_9km:turbine_rd_dist)_psi","psi(turbine_rd_dist:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(as.factor(precip.cat)1)_det","p(veg_cover_cam_under_1m)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Turbine road distance + percent wooodland + slope",7,3293.6664954142,0,1,0.475693793461629,-1639.23750302625,0.475693793461629,"Turbine road distance + percent wooodland + slope","2.43 [1.59, 3.26]","-0.66 [-1.07, -0.25]","-0.65 [-1.09, -0.21]",NA,"1.65 [0.16, 3.15]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",5.04055058408267,1,0.0247606191034667,3.92213392514934
"Turbine road distance x percent wooodland + slope",8,3295.98255561302,2.31606019882611,0.314104326136782,0.149417478442715,-1639.21708425812,0.625111271904344,"Turbine road distance x percent wooodland + slope","2.42 [1.61, 3.23]","-0.58 [-1.28, 0.12]","-0.65 [-1.08, -0.21]",NA,"1.62 [0.16, 3.09]","0.18 [-1.13, 1.49]",NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",5.08138812032848,2,0.0788116807556309,1.23195923357725
"Percent wooodland + slope",6,3296.39976716289,2.7332717486961,0.254963246815169,0.121284434070801,-1641.75777831829,0.746395705975145,"Percent wooodland + slope","1.90 [1.43, 2.38]","-0.79 [-1.17, -0.40]","-0.59 [-1.00, -0.18]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine road distance + slope",6,3296.90339220181,3.23689678761821,0.198205998272294,0.0942853632049965,-1642.00959083775,0.840681069180142,"Turbine road distance + slope","2.35 [1.54, 3.15]",NA,"-0.69 [-1.10, -0.29]",NA,"1.95 [0.48, 3.42]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",8.56886024715823,1,0.00341961157366548,23.448929896072
"Turbine road distance + percent wooodland",6,3296.92032238488,3.25382697068699,0.196535247858687,0.0934905976028206,-1642.01805592928,0.934171666782962,"Turbine road distance + percent wooodland","2.26 [1.52, 3.01]","-0.73 [-1.11, -0.34]",NA,NA,"1.40 [0.06, 2.74]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",4.29112616801012,1,0.0383117808373549,2.76200763931625
"Percent woodland",5,3298.95223802658,5.28574261238145,0.0711566633853846,0.0338487831358658,-1644.16361901329,0.968020449918828,"Percent woodland","1.83 [1.38, 2.28]","-0.83 [-1.19, -0.46]",NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine road distance x biotic community + slope",8,3300.33254347993,6.66604806573469,0.0356850290366024,0.0169751468322098,-1641.39207819158,0.984995596751038,"Turbine road distance x biotic community + slope","2.52 [1.61, 3.43]",NA,"-0.68 [-1.10, -0.27]","-0.78 [-2.53, 0.96]","1.79 [0.09, 3.49]",NA,"-0.22 [-3.32, 2.88]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",7.34668928155133,2,0.0253914026455606,3.82384459716396
"Turbine road distance",5,3302.36236143688,8.69586602268373,0.0129335184065079,0.00615239443359754,-1645.86868071844,0.991147991184635,"Turbine road distance","2.10 [1.42, 2.79]",NA,NA,NA,"1.62 [0.35, 2.89]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",7.72011648450962,1,0.00546088727781167,15.701304675708
"Biotic community + slope",6,3303.01505619102,9.34856077682753,0.00933223830881333,0.00443928784260735,-1645.06542283235,0.995587279027243,"Biotic community + slope","2.03 [1.49, 2.57]",NA,"-0.61 [-0.99, -0.22]","-0.91 [-1.74, -0.08]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Slope",5,3303.21304192266,9.54654650846078,0.00845266710040767,0.00402088127786124,-1646.29402096133,0.999608160305104,"Slope","1.71 [1.30, 2.12]",NA,"-0.61 [-0.98, -0.25]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Null",4,3307.86984905541,14.2033536412141,0.000823722529664539,0.000391839694895934,-1649.72873896069,1,"Null","1.61 [1.23, 2.00]",NA,NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
