"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(woodland_percent_0_9km)_psi","psi(slope)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(canopy_cov)_psi","psi(X50cm_turbine_vis)_psi","psi(X50cm_turbine_vis:woodland_percent_0_9km)_psi","psi(X50cm_turbine_vis:as.factor(biotic_com_2)2)_psi","psi(X50cm_turbine_vis:canopy_cov)_psi","p(Int)_det","p(as.factor(precip.cat)1)_det","p(veg_cover_cam_under_1m)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Turbine visibility + percent wooodland + slope",7,3296.10118456501,0,1,0.36575353579756,-1640.45484760165,0.36575353579756,"Turbine visibility + percent wooodland + slope","1.97 [1.48, 2.47]","-1.04 [-1.51, -0.57]","-0.71 [-1.16, -0.26]",NA,NA,"-0.56 [-1.03, -0.09]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",2.60586143327328,1,0.106469290653746,1.1610111412737
"Percent wooodland + slope",6,3296.39976716289,0.298582597886707,0.861318177276869,0.315030168785724,-1641.75777831829,0.680783704583284,"Percent wooodland + slope","1.90 [1.43, 2.38]","-0.79 [-1.17, -0.40]","-0.59 [-1.00, -0.18]",NA,NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine visibility x percent wooodland + slope",8,3298.30588475974,2.20470019473532,0.332089722737297,0.121462990293198,-1640.37874883148,0.802246694876482,"Turbine visibility x percent wooodland + slope","2.14 [1.30, 2.98]","-0.79 [-1.90, 0.33]","-0.69 [-1.14, -0.24]",NA,NA,"-0.25 [-1.58, 1.08]","0.41 [-1.21, 2.03]",NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",2.75805897360988,2,0.251822831883833,0.385559868000496
"Percent woodland",5,3298.95223802658,2.85105346157206,0.240381813354586,0.0879204981758688,-1644.16361901329,0.89016719305235,"Percent woodland","1.83 [1.38, 2.28]","-0.83 [-1.19, -0.46]",NA,NA,NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine visibility + percent wooodland",6,3299.73713823741,3.63595367240123,0.162353887392714,0.0593815083643639,-1643.42646385555,0.949548701416714,"Turbine visibility + percent wooodland","1.87 [1.41, 2.34]","-1.00 [-1.43, -0.57]",NA,NA,NA,"-0.40 [-0.84, 0.05]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",1.47431031548649,1,0.224666852464921,0.675400044317107
"Canopy cover + slope",6,3302.3505050933,6.2493205282999,0.0439518631107979,0.0160755493376647,-1644.73314728349,0.965624250754379,"Canopy cover + slope","1.79 [1.35, 2.22]",NA,"-0.59 [-0.96, -0.21]",NA,"-0.45 [-0.80, -0.09]",NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Biotic community + slope",6,3303.01505619102,6.91387162601814,0.0315262163879152,0.011530825114199,-1645.06542283235,0.977155075868578,"Biotic community + slope","2.03 [1.49, 2.57]",NA,"-0.61 [-0.99, -0.22]","-0.91 [-1.74, -0.08]",NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Slope",5,3303.21304192266,7.11185735765139,0.0285548443196956,0.0104440352740775,-1646.29402096133,0.987599111142656,"Slope","1.71 [1.30, 2.12]",NA,"-0.61 [-0.98, -0.25]",NA,NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine visibility x canopy cover + slope",8,3304.33295495509,8.23177039008124,0.0163114951623309,0.00596598702976732,-1643.39228392916,0.993565098172423,"Turbine visibility x canopy cover + slope","2.56 [1.43, 3.68]",NA,"-0.72 [-1.15, -0.28]",NA,"0.64 [-0.96, 2.24]","1.00 [-0.78, 2.79]",NA,NA,"1.93 [-0.58, 4.44]","-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",2.68172670867716,2,0.261619700545596,0.371121813908352
"Turbine visibility + slope",6,3305.46571278426,9.36452821925741,0.00925802894744448,0.00338615682204398,-1646.29075112897,0.996951254994467,"Turbine visibility + slope","1.71 [1.30, 2.12]",NA,"-0.62 [-0.99, -0.24]",NA,NA,"-0.02 [-0.45, 0.40]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.00653966470963496,1,0.935546775054458,0.324219205812962
"Turbine visibility x biotic community + slope",8,3306.88525481431,10.7840702493099,0.00455269859215503,0.00166516560750127,-1644.66843385877,0.998616420601968,"Turbine visibility x biotic community + slope","2.11 [1.54, 2.69]",NA,"-0.66 [-1.07, -0.26]","-0.18 [-3.54, 3.19]",NA,"-0.27 [-0.72, 0.19]",NA,"1.65 [-3.89, 7.19]",NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.793977947166695,2,0.672341439108625,0.144409926523888
"Null",4,3307.86984905541,11.7686644904047,0.00278270376885686,0.00101778374253659,-1649.72873896069,0.999634204344505,"Null","1.61 [1.23, 2.00]",NA,NA,NA,NA,NA,NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",NA,NA,NA,NA
"Turbine visibility",5,3309.91646481885,13.8152802538457,0.00100011515868955,0.000365795655495439,-1649.64573240943,1,"Turbine visibility","1.62 [1.23, 2.00]",NA,NA,NA,NA,"0.12 [-0.31, 0.54]",NA,NA,NA,"-1.52 [-1.61, -1.44]","0.26 [0.13, 0.39]","-0.17 [-0.24, -0.11]",0.166013102538273,1,0.683679672863282,0.35940410541809
