"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(jackrabbit_count_avg)_psi","psi(coy_count_avg)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(turbine_density_1_9km)_psi","psi(turbine_density_1_9km:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(as.factor(cam_moved)yes)_det","p(NDVI_1_9km)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Biotic community + jackrabbit count + coyote count",7,281.199360401866,0,1,0.726053046729123,-133.003935520082,0.726053046729123,"Biotic community + jackrabbit count + coyote count","-1.42 [-2.87, 0.03]","5.01 [0.74, 9.29]","-4.34 [-8.55, -0.13]","-14.56 [-97.73, 68.60]",NA,NA,"-4.95 [-5.80, -4.10]","-1.92 [-2.68, -1.17]","-2.48 [-3.20, -1.76]",NA,NA,NA,NA
"Jackrabbit count + coyote count",6,283.742660062325,2.54329966045958,0.280368679272567,0.203562533793268,-135.429224768005,0.929615580522391,"Jackrabbit count + coyote count","-1.51 [-2.87, -0.14]","3.91 [0.20, 7.63]","-3.73 [-7.36, -0.11]",NA,NA,NA,"-5.23 [-6.14, -4.32]","-1.92 [-2.67, -1.16]","-2.69 [-3.43, -1.94]",NA,NA,NA,NA
"Turbine density + jackrabbit count + coyote count",7,286.048436254988,4.8490758531222,0.0885190118778394,0.0642694982673568,-135.428473446643,0.993885078789748,"Turbine density + jackrabbit count + coyote count","-1.52 [-2.95, -0.10]","3.91 [0.24, 7.59]","-3.75 [-7.43, -0.08]",NA,"-0.02 [-1.01, 0.96]",NA,"-5.23 [-6.14, -4.32]","-1.92 [-2.67, -1.16]","-2.68 [-3.43, -1.94]",0.00150264272372169,1,0.969078598221375,0.315723611166223
"Jackrabbit count",5,291.603458924986,10.4040985231206,0.00550527111277142,0.00399711886449752,-140.489229462493,0.997882197654245,"Jackrabbit count","-0.82 [-1.48, -0.16]","1.40 [0.57, 2.23]",NA,NA,NA,NA,"-4.85 [-5.70, -4.00]","-2.04 [-2.80, -1.29]","-2.45 [-3.14, -1.76]",NA,NA,NA,NA
"Turbine density + jackrabbit count",6,293.61310066347,12.4137402616043,0.00201553596612209,0.00146338602899507,-140.364445068577,0.99934558368324,"Turbine density + jackrabbit count","-0.84 [-1.50, -0.19]","1.44 [0.61, 2.27]",NA,NA,"0.21 [-0.39, 0.81]",NA,"-4.82 [-5.66, -3.98]","-2.03 [-2.79, -1.28]","-2.43 [-3.12, -1.75]",0.249568787832118,1,0.617378870952813,0.366110210530113
"Coyote count",5,296.314518490178,15.1151580883124,0.000522137787515127,0.000379099731437761,-142.844759245089,0.999724683414678,"Coyote count","-0.75 [-1.41, -0.08]",NA,"-1.18 [-2.12, -0.25]",NA,NA,NA,"-5.04 [-5.85, -4.23]","-2.06 [-2.82, -1.30]","-2.61 [-3.27, -1.95]",NA,NA,NA,NA
"Turbine density + coyote count",6,298.560093614449,17.3607332125831,0.00016988877388772,0.000123348261886254,-142.837941544067,0.999848031676564,"Turbine density + coyote count","-0.74 [-1.41, -0.08]",NA,"-1.18 [-2.12, -0.25]",NA,"-0.05 [-0.62, 0.52]",NA,"-5.04 [-5.86, -4.23]","-2.06 [-2.82, -1.30]","-2.61 [-3.28, -1.95]",0.013635402045054,1,0.90704174366017,0.325371535923931
"Null",4,298.719129468287,17.5197690664214,0.000156902724594444,0.000113919701231896,-145.153379167133,0.999961951377796,"Null","-0.50 [-1.06, 0.06]",NA,NA,NA,NA,NA,"-5.04 [-5.85, -4.24]","-2.08 [-2.84, -1.32]","-2.62 [-3.28, -1.96]",NA,NA,NA,NA
"Turbine density",5,300.915090705463,19.7157303035968,5.23339555534482e-05,3.79972278769676e-05,-145.145045352731,0.999999948605673,"Turbine density","-0.50 [-1.06, 0.06]",NA,NA,NA,"-0.05 [-0.58, 0.49]",NA,"-5.05 [-5.85, -4.24]","-2.08 [-2.84, -1.32]","-2.62 [-3.28, -1.96]",0.0166676288039298,1,0.897276012786553,0.333543956541985
"Turbine density x biotic community + jackrabbit count + coyote count",8,314.126572095343,32.9272116934777,7.07859114590901e-08,5.13943266803703e-08,-148.289092499285,1,"Turbine density x biotic community + jackrabbit count + coyote count","-1.90 [-2.76, -1.03]","2.62 [1.40, 3.84]","-1.92 [-3.37, -0.47]","-17.03 [-127.64, 93.58]","0.04 [-0.57, 0.66]","-3.11 [-655.26, 649.05]","-2.39 [-2.69, -2.08]","-1.47 [-2.22, -0.73]",NA,-30.5703139584056,1,1,7.07859114590901e-08
