"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(jackrabbit_count_avg)_psi","psi(coy_count_avg)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(turbine_dist)_psi","psi(turbine_dist:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(as.factor(cam_moved)yes)_det","p(NDVI_1_9km)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Biotic community + jackrabbit count + coyote count",7,281.199360401866,0,1,0.716123942657574,-133.003935520082,0.716123942657574,"Biotic community + jackrabbit count + coyote count","-1.42 [-2.87, 0.03]","5.01 [0.74, 9.29]","-4.34 [-8.55, -0.13]","-14.56 [-97.73, 68.60]",NA,NA,"-4.95 [-5.80, -4.10]","-1.92 [-2.68, -1.17]","-2.48 [-3.20, -1.76]",NA,NA,NA,NA
"Jackrabbit count + coyote count",6,283.742660062325,2.54329966045958,0.280368679272567,0.200778723998368,-135.429224768005,0.916902666655942,"Jackrabbit count + coyote count","-1.51 [-2.87, -0.14]","3.91 [0.20, 7.63]","-3.73 [-7.36, -0.11]",NA,NA,NA,"-5.23 [-6.14, -4.32]","-1.92 [-2.67, -1.16]","-2.69 [-3.43, -1.94]",NA,NA,NA,NA
"Turbine distance + jackrabbit count + coyote count",7,285.727297728683,4.52793732681749,0.103937173493354,0.0744318984707453,-135.267904183491,0.991334565126688,"Turbine distance + jackrabbit count + coyote count","-1.44 [-2.80, -0.08]","4.04 [-1.19, 9.27]","-3.54 [-7.66, 0.59]",NA,"-0.54 [-2.06, 0.99]",NA,"-5.21 [-6.20, -4.23]","-1.89 [-2.65, -1.14]","-2.67 [-3.45, -1.88]",0.322641169028429,1,0.570024705680462,0.370716064872244
"Turbine distance + jackrabbit count",6,291.550806677134,10.3514462752682,0.00565212816917682,0.00404762430891684,-139.333298075409,0.995382189435605,"Turbine distance + jackrabbit count","-0.95 [-1.62, -0.28]","1.68 [0.69, 2.68]",NA,NA,"-0.82 [-1.65, 0.02]",NA,"-4.76 [-5.59, -3.93]","-2.01 [-2.76, -1.25]","-2.38 [-3.06, -1.71]",2.31186277416822,1,0.128390105435394,1.02667571739831
"Jackrabbit count",5,291.603458924986,10.4040985231206,0.00550527111277142,0.00394245645467672,-140.489229462493,0.999324645890281,"Jackrabbit count","-0.82 [-1.48, -0.16]","1.40 [0.57, 2.23]",NA,NA,NA,NA,"-4.85 [-5.70, -4.00]","-2.04 [-2.80, -1.29]","-2.45 [-3.14, -1.76]",NA,NA,NA,NA
"Coyote count",5,296.314518490178,15.1151580883124,0.000522137787515127,0.000373915371005835,-142.844759245089,0.999698561261287,"Coyote count","-0.75 [-1.41, -0.08]",NA,"-1.18 [-2.12, -0.25]",NA,NA,NA,"-5.04 [-5.85, -4.23]","-2.06 [-2.82, -1.30]","-2.61 [-3.27, -1.95]",NA,NA,NA,NA
"Turbine distance + coyote count",6,298.267100239682,17.0677398378166,0.000196692311867364,0.00014085607386489,-142.691444856683,0.999839417335152,"Turbine distance + coyote count","-0.81 [-1.48, -0.14]",NA,"-1.18 [-2.11, -0.24]",NA,"-0.29 [-1.03, 0.45]",NA,"-4.96 [-5.77, -4.16]","-2.04 [-2.80, -1.28]","-2.56 [-3.22, -1.90]",0.306628776811579,1,0.579756308264261,0.376705759610753
"Null",4,298.719129468287,17.5197690664214,0.000156902724594444,0.000112361797750288,-145.153379167133,0.999951779132902,"Null","-0.50 [-1.06, 0.06]",NA,NA,NA,NA,NA,"-5.04 [-5.85, -4.24]","-2.08 [-2.84, -1.32]","-2.62 [-3.28, -1.96]",NA,NA,NA,NA
"Turbine distance",5,300.414364668427,19.2150042665613,6.72225276799558e-05,4.81396615575779e-05,-144.894682334213,0.99999991879446,"Turbine distance","-0.56 [-1.12, 0.00]",NA,NA,NA,"-0.33 [-1.00, 0.34]",NA,"-4.98 [-5.77, -4.19]","-2.05 [-2.81, -1.29]","-2.57 [-3.22, -1.92]",0.517393665839506,1,0.471955592418613,0.42843441918367
"Turbine distance x biotic community + jackrabbit count + coyote count",8,313.184121082501,31.9847606806354,1.13395929618051e-07,8.12055401993994e-08,-147.817866992863,1,"Turbine distance x biotic community + jackrabbit count + coyote count","-1.83 [-2.66, -1.01]","2.57 [1.40, 3.73]","-1.72 [-3.04, -0.39]","-24.20 [-6053.27, 6004.86]","-0.51 [-1.34, 0.32]","-7.08 [-11143.28, 11129.12]","-2.39 [-2.69, -2.08]","-1.44 [-2.18, -0.71]",NA,-29.6278629455633,1,1,1.13395929618051e-07
