"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(jackrabbit_count_avg)_psi","psi(coy_count_avg)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(turbine_rd_density_1_9km)_psi","psi(turbine_rd_density_1_9km:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(as.factor(cam_moved)yes)_det","p(NDVI_1_9km)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Biotic community + jackrabbit count + coyote count",7,281.199360401866,0,1,0.723396530557527,-133.003935520082,0.723396530557527,"Biotic community + jackrabbit count + coyote count","-1.42 [-2.87, 0.03]","5.01 [0.74, 9.29]","-4.34 [-8.55, -0.13]","-14.56 [-97.73, 68.60]",NA,NA,"-4.95 [-5.80, -4.10]","-1.92 [-2.68, -1.17]","-2.48 [-3.20, -1.76]",NA,NA,NA,NA
"Jackrabbit count + coyote count",6,283.742660062325,2.54329966045958,0.280368679272567,0.202817729862771,-135.429224768005,0.926214260420298,"Jackrabbit count + coyote count","-1.51 [-2.87, -0.14]","3.91 [0.20, 7.63]","-3.73 [-7.36, -0.11]",NA,NA,NA,"-5.23 [-6.14, -4.32]","-1.92 [-2.67, -1.16]","-2.69 [-3.43, -1.94]",NA,NA,NA,NA
"Turbine road density + jackrabbit count + coyote count",7,285.953352602524,4.75399220065816,0.092829008139141,0.067152182422951,-135.380931620411,0.993366442843249,"Turbine road density + jackrabbit count + coyote count","-1.34 [-2.89, 0.20]","3.94 [-0.08, 7.96]","-3.61 [-7.37, 0.14]",NA,"0.29 [-1.09, 1.68]",NA,"-5.24 [-6.17, -4.32]","-1.92 [-2.67, -1.16]","-2.70 [-3.45, -1.94]",0.0965862951877625,1,0.755965322544573,0.331096213671196
"Jackrabbit count",5,291.603458924986,10.4040985231206,0.00550527111277142,0.00398249402275742,-140.489229462493,0.997348936866006,"Jackrabbit count","-0.82 [-1.48, -0.16]","1.40 [0.57, 2.23]",NA,NA,NA,NA,"-4.85 [-5.70, -4.00]","-2.04 [-2.80, -1.29]","-2.45 [-3.14, -1.76]",NA,NA,NA,NA
"Turbine road density + jackrabbit count",6,292.986510581289,11.7871501794237,0.00275710216867237,0.00199447814321023,-140.051150027487,0.999343415009217,"Turbine road density + jackrabbit count","-0.67 [-1.37, 0.03]","1.49 [0.63, 2.35]",NA,NA,"0.51 [-0.31, 1.33]",NA,"-4.87 [-5.68, -4.06]","-2.03 [-2.79, -1.28]","-2.48 [-3.14, -1.81]",0.876158870012716,1,0.349255896665062,0.500811333755444
"Coyote count",5,296.314518490178,15.1151580883124,0.000522137787515127,0.000377712663961426,-142.844759245089,0.999721127673178,"Coyote count","-0.75 [-1.41, -0.08]",NA,"-1.18 [-2.12, -0.25]",NA,NA,NA,"-5.04 [-5.85, -4.23]","-2.06 [-2.82, -1.30]","-2.61 [-3.27, -1.95]",NA,NA,NA,NA
"Turbine road density + coyote count",6,298.520863707703,17.3215033058368,0.000173254031050462,0.00012533136496701,-142.818326590693,0.999846459038145,"Turbine road density + coyote count","-0.70 [-1.42, 0.01]",NA,"-1.19 [-2.12, -0.25]",NA,"0.12 [-0.63, 0.87]",NA,"-5.05 [-5.85, -4.25]","-2.06 [-2.81, -1.30]","-2.62 [-3.28, -1.96]",0.052865308791354,1,0.818150382123081,0.331816687459041
"Null",4,298.719129468287,17.5197690664214,0.000156902724594444,0.000113502886606644,-145.153379167133,0.999959961924752,"Null","-0.50 [-1.06, 0.06]",NA,NA,NA,NA,NA,"-5.04 [-5.85, -4.24]","-2.08 [-2.84, -1.32]","-2.62 [-3.28, -1.96]",NA,NA,NA,NA
"Turbine road density",5,300.805814484102,19.606454082236,5.52729432611965e-05,3.99842553888525e-05,-145.090407242051,0.99999994618014,"Turbine road density","-0.44 [-1.05, 0.17]",NA,NA,NA,"0.17 [-0.52, 0.86]",NA,"-5.06 [-5.86, -4.26]","-2.07 [-2.83, -1.32]","-2.63 [-3.29, -1.98]",0.125943850164788,1,0.72267523230853,0.352275229152737
"Turbine road density x biotic community + jackrabbit count + coyote count",8,314.027011494146,32.8276510922802,7.43988355722776e-08,5.38198595305055e-08,-148.239312198686,1,"Turbine road density x biotic community + jackrabbit count + coyote count","-1.97 [-2.88, -1.06]","2.65 [1.38, 3.93]","-2.04 [-3.57, -0.50]","-15.27 [-87.06, 56.52]","-0.16 [-0.88, 0.56]","-3.39 [-89.71, 82.92]","-2.39 [-2.70, -2.08]","-1.47 [-2.22, -0.73]",NA,-30.4707533572081,1,1,7.43988355722776e-08
