"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(jackrabbit_count_avg)_psi","psi(coy_count_avg)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(turbine_rd_dist)_psi","psi(turbine_rd_dist:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(as.factor(cam_moved)yes)_det","p(NDVI_1_9km)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Biotic community + jackrabbit count + coyote count",7,281.199360401866,0,1,0.697710635278376,-133.003935520082,0.697710635278376,"Biotic community + jackrabbit count + coyote count","-1.42 [-2.87, 0.03]","5.01 [0.74, 9.29]","-4.34 [-8.55, -0.13]","-14.56 [-97.73, 68.60]",NA,NA,"-4.95 [-5.80, -4.10]","-1.92 [-2.68, -1.17]","-2.48 [-3.20, -1.76]",NA,NA,NA,NA
"Jackrabbit count + coyote count",6,283.742660062325,2.54329966045958,0.280368679272567,0.195616209327422,-135.429224768005,0.893326844605798,"Jackrabbit count + coyote count","-1.51 [-2.87, -0.14]","3.91 [0.20, 7.63]","-3.73 [-7.36, -0.11]",NA,NA,NA,"-5.23 [-6.14, -4.32]","-1.92 [-2.67, -1.16]","-2.69 [-3.43, -1.94]",NA,NA,NA,NA
"Turbine road distance + jackrabbit count + coyote count",7,285.201053347881,4.00169294601494,0.135220774043702,0.0943449721608652,-135.004781993089,0.987671816766663,"Turbine road distance + jackrabbit count + coyote count","-1.43 [-2.53, -0.33]","3.02 [0.38, 5.66]","-2.46 [-4.64, -0.29]",NA,"-1.24 [-2.90, 0.41]",NA,"-4.98 [-5.93, -4.02]","-1.90 [-2.66, -1.14]","-2.51 [-3.26, -1.76]",0.848885549830982,1,0.356867801577244,0.482296290707437
"Turbine road distance + jackrabbit count",6,290.185120129136,8.98575972727059,0.0111883763707303,0.00780624918535579,-138.65045480141,0.995478065952019,"Turbine road distance + jackrabbit count","-0.85 [-1.53, -0.17]","1.90 [0.71, 3.09]",NA,NA,"-1.08 [-2.04, -0.12]",NA,"-4.79 [-5.62, -3.97]","-2.01 [-2.77, -1.26]","-2.41 [-3.08, -1.74]",3.67754932216582,1,0.0551498545890544,2.03230252271771
"Jackrabbit count",5,291.603458924986,10.4040985231206,0.00550527111277142,0.00384108620547144,-140.489229462493,0.99931915215749,"Jackrabbit count","-0.82 [-1.48, -0.16]","1.40 [0.57, 2.23]",NA,NA,NA,NA,"-4.85 [-5.70, -4.00]","-2.04 [-2.80, -1.29]","-2.45 [-3.14, -1.76]",NA,NA,NA,NA
"Coyote count",5,296.314518490178,15.1151580883124,0.000522137787515127,0.000364301087430025,-142.844759245089,0.99968345324492,"Coyote count","-0.75 [-1.41, -0.08]",NA,"-1.18 [-2.12, -0.25]",NA,NA,NA,"-5.04 [-5.85, -4.23]","-2.06 [-2.82, -1.30]","-2.61 [-3.27, -1.95]",NA,NA,NA,NA
"Turbine road distance + coyote count",6,298.085242367692,16.8858819658263,0.000215415683915795,0.000150297813673815,-142.600515920688,0.999833751058594,"Turbine road distance + coyote count","-0.77 [-1.42, -0.12]",NA,"-1.16 [-2.10, -0.22]",NA,"-0.35 [-1.08, 0.37]",NA,"-4.97 [-5.75, -4.18]","-2.04 [-2.80, -1.28]","-2.56 [-3.20, -1.92]",0.488486648801825,1,0.484603153454667,0.412564823053636
"Null",4,298.719129468287,17.5197690664214,0.000156902724594444,0.000109472699653697,-145.153379167133,0.999943223758248,"Null","-0.50 [-1.06, 0.06]",NA,NA,NA,NA,NA,"-5.04 [-5.85, -4.24]","-2.08 [-2.84, -1.32]","-2.62 [-3.28, -1.96]",NA,NA,NA,NA
"Turbine road distance",5,300.034793665384,18.8354332635179,8.12713800933628e-05,5.67039062348905e-05,-144.704896832692,0.999999927664483,"Turbine road distance","-0.52 [-1.07, 0.04]",NA,NA,NA,"-0.43 [-1.10, 0.25]",NA,"-4.99 [-5.76, -4.21]","-2.06 [-2.82, -1.30]","-2.58 [-3.22, -1.94]",0.896964668882845,1,0.343596900874889,0.517973032676329
"Turbine road distance x biotic community + jackrabbit count + coyote count",8,313.363359915977,32.1639995141117,1.03675526023207e-07,7.23355171244713e-08,-147.907486409602,1,"Turbine road distance x biotic community + jackrabbit count + coyote count","-1.84 [-2.67, -1.00]","2.65 [1.47, 3.83]","-1.70 [-3.05, -0.35]","-17.55 [-82.57, 47.47]","-0.48 [-1.35, 0.40]","2.08 [-71.13, 75.30]","-2.38 [-2.69, -2.08]","-1.45 [-2.18, -0.71]",NA,-29.8071017790396,1,1,1.03675526023207e-07
