"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(jackrabbit_count_avg)_psi","psi(coy_count_avg)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(canopy_cov)_psi","psi(X50cm_turbine_vis)_psi","psi(X50cm_turbine_vis:as.factor(biotic_com_2)2)_psi","psi(canopy_cov:X50cm_turbine_vis)_psi","p(Int)_det","p(as.factor(cam_moved)yes)_det","p(NDVI_1_9km)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Canopy cover + jackrabbit count + coyote count",7,273.756611439959,0,1,0.967711859584534,-129.282561039129,0.967711859584534,"Canopy cover + jackrabbit count + coyote count","-22.02 [-39.41, -4.62]","6.27 [1.76, 10.79]","-4.56 [-7.99, -1.12]",NA,"-30.46 [-55.41, -5.50]",NA,NA,NA,"-4.61 [-5.41, -3.81]","-2.03 [-2.78, -1.28]","-2.25 [-2.94, -1.56]",NA,NA,NA,NA
"Biotic community + jackrabbit count + coyote count",7,281.199360401866,7.44274896190655,0.0242006815993611,0.023419286593731,-133.003935520082,0.991131146178265,"Biotic community + jackrabbit count + coyote count","-1.42 [-2.87, 0.03]","5.01 [0.74, 9.29]","-4.34 [-8.55, -0.13]","-14.56 [-97.73, 68.60]",NA,NA,NA,NA,"-4.95 [-5.80, -4.10]","-1.92 [-2.68, -1.17]","-2.48 [-3.20, -1.76]",NA,NA,NA,NA
"Jackrabbit count + coyote count",6,283.742660062325,9.98604862236613,0.00678511313750881,0.00656603445179011,-135.429224768005,0.997697180630056,"Jackrabbit count + coyote count","-1.51 [-2.87, -0.14]","3.91 [0.20, 7.63]","-3.73 [-7.36, -0.11]",NA,NA,NA,NA,NA,"-5.23 [-6.14, -4.32]","-1.92 [-2.67, -1.16]","-2.69 [-3.43, -1.94]",NA,NA,NA,NA
"Turbine visibility + jackrabbit count + coyote count",7,286.025839038609,12.2692275986497,0.00216656178395687,0.00209660753285769,-135.417174838453,0.999793788162913,"Turbine visibility + jackrabbit count + coyote count","-1.55 [-2.92, -0.18]","3.73 [0.03, 7.42]","-3.53 [-7.37, 0.31]",NA,NA,"0.07 [-0.57, 0.71]",NA,NA,"-5.18 [-6.18, -4.18]","-1.92 [-2.67, -1.17]","-2.65 [-3.45, -1.85]",0.0240998591027619,1,0.876631095636029,0.319311077066629
"Jackrabbit count",5,291.603458924986,17.8468474850272,0.000133231313318342,0.000128929521966182,-140.489229462493,0.999922717684879,"Jackrabbit count","-0.82 [-1.48, -0.16]","1.40 [0.57, 2.23]",NA,NA,NA,NA,NA,NA,"-4.85 [-5.70, -4.00]","-2.04 [-2.80, -1.29]","-2.45 [-3.14, -1.76]",NA,NA,NA,NA
"Turbine visibility + jackrabbit count",6,293.29118479694,19.534573356981,5.72956027233861e-05,5.54456342574647e-05,-140.203487135312,0.999978163319137,"Turbine visibility + jackrabbit count","-1.04 [-1.82, -0.27]","1.48 [0.65, 2.32]",NA,NA,NA,"0.25 [-0.22, 0.72]",NA,NA,"-4.72 [-5.59, -3.86]","-2.04 [-2.80, -1.29]","-2.36 [-3.06, -1.66]",0.571484654361939,1,0.449669556732359,0.430046070224381
"Coyote count",5,296.314518490178,22.5579070502189,1.26360903466485e-05,1.22280944872334e-05,-142.844759245089,0.999990391413624,"Coyote count","-0.75 [-1.41, -0.08]",NA,"-1.18 [-2.12, -0.25]",NA,NA,NA,NA,NA,"-5.04 [-5.85, -4.23]","-2.06 [-2.82, -1.30]","-2.61 [-3.27, -1.95]",NA,NA,NA,NA
"Turbine visibility + coyote count",6,298.444131165909,24.6875197259502,4.35685599417927e-06,4.21618121606925e-06,-142.779960319797,0.99999460759484,"Turbine visibility + coyote count","-0.65 [-1.43, 0.13]",NA,"-1.21 [-2.17, -0.26]",NA,NA,"-0.11 [-0.58, 0.35]",NA,NA,"-5.11 [-5.98, -4.24]","-2.06 [-2.82, -1.30]","-2.66 [-3.36, -1.96]",0.12959785058456,1,0.718849366044553,0.34479462196429
"Null",4,298.719129468287,24.962518028328,3.79715287998238e-06,3.67454987461452e-06,-145.153379167133,0.999998282144715,"Null","-0.50 [-1.06, 0.06]",NA,NA,NA,NA,NA,NA,NA,"-5.04 [-5.85, -4.24]","-2.08 [-2.84, -1.32]","-2.62 [-3.28, -1.96]",NA,NA,NA,NA
"Turbine visibility",5,300.881526880097,27.1249154401379,1.28795132767422e-06,1.24636577435799e-06,-145.128263440049,0.999999528510489,"Turbine visibility","-0.44 [-1.12, 0.23]",NA,NA,NA,NA,"-0.07 [-0.50, 0.37]",NA,NA,"-5.08 [-5.93, -4.23]","-2.08 [-2.84, -1.32]","-2.65 [-3.33, -1.96]",0.0502314541694204,1,0.822661014670563,0.33918869436729
"Turbine visibility x canopy cover + jackrabbit count + coyote count",8,302.842593253772,29.085981813813,4.83124763606146e-07,4.67525563400642e-07,-142.647103078499,0.999999996036052,"Turbine visibility x canopy cover + jackrabbit count + coyote count","-23.44 [-68.92, 22.03]","2.57 [1.20, 3.95]","-2.20 [-3.72, -0.69]",NA,"-31.17 [-95.30, 32.96]","-3.42 [-88.19, 81.35]",NA,"-5.11 [-124.34, 114.12]","-2.37 [-2.66, -2.07]","-1.41 [-2.18, -0.64]",NA,-26.7290840787409,1,1,4.83124763606146e-07
"Turbine visibility x biotic community + jackrabbit count + coyote count",8,312.383020607994,38.6264091680351,4.09620630102009e-09,3.96394741680204e-09,-147.41731675561,1,"Turbine visibility x biotic community + jackrabbit count + coyote count","-2.09 [-2.98, -1.20]","2.68 [1.44, 3.93]","-1.86 [-3.22, -0.51]","-15.69 [-944.13, 912.74]",NA,"0.44 [-0.04, 0.91]","11.21 [-1677.69, 1700.10]",NA,"-2.38 [-2.69, -2.08]","-1.49 [-2.23, -0.74]",NA,-28.8267624710565,1,1,1.69259955931498e-07
