"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(X150cm_turbine_vis)_psi","psi(shrub_yucca_density)_psi","psi(turbine_dist)_psi","psi(as.factor(biotic_com_2)2:X150cm_turbine_vis)_psi","psi(veg_cover)_psi","p(Int)_det","p(max_trig_dist)_det","p(livestock.count)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Turbine visibility x biotic community + shrub density + turbine distance",9,1243.48129866985,0,1,0.257587700530399,-611.762388465361,0.257587700530399,"Turbine visibility x biotic community + shrub density + turbine distance","-0.04 [-0.51, 0.43]","8.75 [1.29, 16.20]","-0.82 [-1.33, -0.30]","0.63 [-0.22, 1.49]","0.41 [-0.13, 0.96]","10.81 [1.14, 20.48]",NA,"-2.91 [-3.26, -2.57]","-0.54 [-0.71, -0.37]","-2.13 [-4.02, -0.24]",7.54983997218665,3,0.0562915843437268,1.26967933909218
"Biotic community + shrub density",6,1243.95882742923,0.477528759372035,0.787600435173653,0.202876185033123,-615.537308451455,0.460463885563522,"Biotic community + shrub density","0.84 [0.10, 1.58]","1.76 [0.83, 2.70]",NA,"5.15 [2.81, 7.50]",NA,NA,NA,"-2.91 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.07 [-3.95, -0.18]",NA,NA,NA,NA
"Turbine visibility + vegetation cover + turbine distance",7,1244.72910538534,1.24780671548297,0.535848740797731,0.138028044974197,-614.768808011817,0.59849193053772,"Turbine visibility + vegetation cover + turbine distance","0.17 [-0.21, 0.56]",NA,"-0.67 [-1.20, -0.15]",NA,"0.47 [-0.02, 0.97]",NA,"0.63 [0.14, 1.11]","-2.91 [-3.26, -2.57]","-0.54 [-0.71, -0.37]","-2.09 [-3.97, -0.21]",7.3057219642053,2,0.025916874894657,3.93384099598729
"vegetation cover + shrub density",6,1244.78964565066,1.30834698081094,0.519871563904609,0.133912520717331,-615.952717562174,0.73240445125505,"vegetation cover + shrub density","1.07 [0.35, 1.79]",NA,NA,"4.10 [1.81, 6.39]",NA,NA,"0.78 [0.36, 1.20]","-2.90 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.05 [-3.93, -0.17]",NA,NA,NA,NA
"Turbine visibility + shrub density + turbine distance + vegetation cover",8,1245.53456267053,2.05326400067474,0.358211387007293,0.0922708474830134,-613.993087786877,0.824675298738064,"Turbine visibility + shrub density + turbine distance + vegetation cover","0.20 [-0.20, 0.59]",NA,"-0.64 [-1.16, -0.12]","0.58 [-0.33, 1.49]","0.35 [-0.14, 0.84]",NA,"0.53 [0.04, 1.01]","-2.90 [-3.25, -2.56]","-0.53 [-0.70, -0.36]","-2.08 [-3.96, -0.20]",3.91925955059446,2,0.140910579842728,0.689038239208291
"Turbine visibility + turbine distance",6,1245.94331641218,2.46201774232395,0.291997840829132,0.0752150523790176,-616.529552942931,0.899890351117081,"Turbine visibility + turbine distance","0.21 [-0.19, 0.61]",NA,"-1.10 [-1.57, -0.63]",NA,"0.46 [-0.07, 1.00]",NA,NA,"-2.95 [-3.30, -2.60]","-0.56 [-0.73, -0.39]","-2.20 [-4.11, -0.29]",17.3028305475141,2,0.000174879171032118,611.243604414856
"Turbine visibility + shrub density + turbine distance",7,1246.48581208616,3.00451341630674,0.222627188240622,0.0573460254944501,-615.647161362229,0.957236376611531,"Turbine visibility + shrub density + turbine distance","0.97 [0.21, 1.73]",NA,"-0.88 [-1.37, -0.40]","3.98 [1.64, 6.33]","0.02 [-0.52, 0.56]",NA,NA,"-2.92 [-3.26, -2.58]","-0.46 [-0.62, -0.30]","-2.11 [-4.00, -0.22]",8.62074754475293,2,0.0134285294427445,7.59225836180901
"vegetation cover",5,1247.46833798784,3.98703931798605,0.136215149860994,0.0350873472300972,-618.42166899392,0.992323723841629,"vegetation cover","0.20 [-0.16, 0.55]",NA,NA,NA,NA,NA,"0.90 [0.52, 1.29]","-2.90 [-3.24, -2.56]","-0.55 [-0.72, -0.38]","-2.00 [-3.87, -0.12]",NA,NA,NA,NA
"Shrub density",5,1250.54007026921,7.05877159935744,0.0293229204844362,0.00755322366042167,-619.957535134605,0.99987694750205,"Shrub density","1.29 [0.57, 2.01]",NA,NA,"4.99 [2.75, 7.24]",NA,NA,NA,"-2.93 [-3.27, -2.59]","-0.48 [-0.64, -0.32]","-2.10 [-3.99, -0.21]",NA,NA,NA,NA
"Null Model",4,1258.7743075674,15.2930088975427,0.000477711077416772,0.000123052497949686,-625.180968216688,1,"Null Model","0.26 [-0.08, 0.59]",NA,NA,NA,NA,NA,NA,"-2.96 [-3.30, -2.61]","-0.59 [-0.76, -0.43]","-2.11 [-4.01, -0.21]",NA,NA,NA,NA
