"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(shrub_yucca_density)_psi","psi(veg_cover)_psi","psi(turbine_density_1_9km)_psi","psi(veg_cover:turbine_density_1_9km)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(turbine_density_1_9km:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(max_trig_dist)_det","p(livestock.count)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Biotic community + shrub density",6,1243.95882742923,0,1,0.399013934009245,-615.537308451455,0.399013934009245,"Biotic community + shrub density","0.84 [0.10, 1.58]","5.15 [2.81, 7.50]",NA,NA,NA,"1.76 [0.83, 2.70]",NA,"-2.91 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.07 [-3.95, -0.18]",NA,NA,NA,NA
"vegetation cover + shrub density",6,1244.78964565066,0.830818221438903,0.660070183671224,0.26337720070886,-615.952717562174,0.662391134718106,"vegetation cover + shrub density","1.07 [0.35, 1.79]","4.10 [1.81, 6.39]","0.78 [0.36, 1.20]",NA,NA,NA,NA,"-2.90 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.05 [-3.93, -0.17]",NA,NA,NA,NA
"Turbine density + vegetation cover + shrub density",7,1246.84197681577,2.88314938654116,0.236554963730795,0.094388726687639,-615.825243727032,0.756779861405745,"Turbine density + vegetation cover + shrub density","1.08 [0.35, 1.81]","4.09 [1.78, 6.41]","0.79 [0.36, 1.21]","-0.13 [-0.51, 0.25]",NA,NA,NA,"-2.91 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.06 [-3.94, -0.17]",0.254947670284082,1,0.613612616925234,0.358378502139133
"Turbine density x biotic community + shrub density",8,1247.29474411275,3.33591668352847,0.188631794419368,0.0752667143704952,-614.87317850799,0.83204657577624,"Turbine density x biotic community + shrub density","0.75 [-0.03, 1.52]","4.91 [2.49, 7.34]",NA,"-0.36 [-0.84, 0.12]",NA,"1.76 [0.81, 2.71]","0.54 [-0.42, 1.50]","-2.91 [-3.25, -2.57]","-0.46 [-0.62, -0.30]","-2.08 [-3.96, -0.19]",1.3282598869298,2,0.514721169458819,0.188631794419368
"vegetation cover",5,1247.46833798784,3.50951055861401,0.172949561449849,0.0690092848992782,-618.42166899392,0.901055860675518,"vegetation cover","0.20 [-0.16, 0.55]",NA,"0.90 [0.52, 1.29]",NA,NA,NA,NA,"-2.90 [-3.24, -2.56]","-0.55 [-0.72, -0.38]","-2.00 [-3.87, -0.12]",NA,NA,NA,NA
"Turbine density x vegetation cover + shrub density",8,1248.56286682275,4.60403939352705,0.10005655560971,0.0399239598772452,-615.507239862989,0.940979820552763,"Turbine density x vegetation cover + shrub density","1.07 [0.33, 1.81]","4.12 [1.77, 6.47]","0.77 [0.35, 1.19]","-0.12 [-0.51, 0.28]","0.23 [-0.20, 0.66]",NA,NA,"-2.91 [-3.25, -2.57]","-0.46 [-0.62, -0.30]","-2.06 [-3.95, -0.18]",0.890955398370124,2,0.640518227903181,0.151584722480886
"Turbine density + vegetation cover",6,1248.62430048444,4.66547305521885,0.0970298585629168,0.0387162655815501,-617.870044979064,0.979696086134313,"Turbine density + vegetation cover","0.20 [-0.16, 0.55]",NA,"0.94 [0.54, 1.33]","-0.25 [-0.59, 0.09]",NA,NA,NA,"-2.90 [-3.24, -2.56]","-0.55 [-0.72, -0.38]","-2.01 [-3.89, -0.13]",1.10324802971104,1,0.293554400973655,0.561029804004752
"Shrub density",5,1250.54007026921,6.58124283998541,0.0372307063009316,0.0148555705870775,-619.957535134605,0.994551656721391,"Shrub density","1.29 [0.57, 2.01]","4.99 [2.75, 7.24]",NA,NA,NA,NA,NA,"-2.93 [-3.27, -2.59]","-0.48 [-0.64, -0.32]","-2.10 [-3.99, -0.21]",NA,NA,NA,NA
"Turbine density + shrub density",6,1252.67551551042,8.71668808119989,0.0127995656708137,0.00510720505192107,-619.895652492055,0.999658861773312,"Turbine density + shrub density","1.30 [0.58, 2.03]","5.01 [2.75, 7.28]",NA,"-0.09 [-0.44, 0.27]",NA,NA,NA,"-2.93 [-3.27, -2.59]","-0.48 [-0.64, -0.32]","-2.10 [-3.99, -0.21]",0.123765285101399,1,0.724986078583671,0.343790568122889
"Null",4,1258.7743075674,14.8154801381706,0.000606539885051542,0.000242017865667931,-625.180968216688,0.99990087963898,"Null","0.26 [-0.08, 0.59]",NA,NA,NA,NA,NA,NA,"-2.96 [-3.30, -2.61]","-0.59 [-0.76, -0.43]","-2.11 [-4.01, -0.21]",NA,NA,NA,NA
"Turbine density",5,1260.55966090527,16.6008334760479,0.000248413282273537,9.91203610201131e-05,-624.967330452636,1,"Turbine density","0.27 [-0.07, 0.61]",NA,NA,"-0.14 [-0.46, 0.17]",NA,NA,NA,"-2.96 [-3.31, -2.61]","-0.60 [-0.77, -0.43]","-2.13 [-4.03, -0.22]",0.4272755281022,1,0.513328842154359,0.409558033026019
