"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(shrub_yucca_density)_psi","psi(veg_cover)_psi","psi(turbine_dist)_psi","psi(veg_cover:turbine_dist)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(turbine_dist:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(max_trig_dist)_det","p(livestock.count)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Biotic community + shrub density",6,1243.95882742923,0,1,0.359658980138224,-615.537308451455,0.359658980138224,"Biotic community + shrub density","0.84 [0.10, 1.58]","5.15 [2.81, 7.50]",NA,NA,NA,"1.76 [0.83, 2.70]",NA,"-2.91 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.07 [-3.95, -0.18]",NA,NA,NA,NA
"vegetation cover + shrub density",6,1244.78964565066,0.830818221438903,0.660070183671224,0.237400169078843,-615.952717562174,0.597059149217067,"vegetation cover + shrub density","1.07 [0.35, 1.79]","4.10 [1.81, 6.39]","0.78 [0.36, 1.20]",NA,NA,NA,NA,"-2.90 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.05 [-3.93, -0.17]",NA,NA,NA,NA
"Turbine distance + vegetation cover",6,1246.34517190582,2.38634447659638,0.303257730808271,0.109069366181535,-616.730480689753,0.706128515398602,"Turbine distance + vegetation cover","0.22 [-0.14, 0.59]",NA,"0.99 [0.59, 1.40]","0.51 [0.07, 0.95]",NA,NA,NA,"-2.91 [-3.25, -2.57]","-0.55 [-0.72, -0.38]","-2.04 [-3.92, -0.17]",3.38237660833352,1,0.065896968892911,1.75344608142419
"Turbine distance + vegetation cover + shrub density",7,1246.80777271043,2.84894528120094,0.240635331056617,0.086546657753047,-615.808141674362,0.792675173151649,"Turbine distance + vegetation cover + shrub density","0.26 [-0.13, 0.64]","0.63 [-0.33, 1.59]","0.87 [0.45, 1.29]","0.41 [-0.04, 0.85]",NA,NA,NA,"-2.90 [-3.24, -2.56]","-0.54 [-0.71, -0.37]","-2.04 [-3.92, -0.16]",0.289151775624305,1,0.59076460575398,0.364560219518226
"Turbine distance x biotic community + shrub density",8,1247.08811640835,3.12928897912866,0.209162359358579,0.0752271208502113,-614.76986465579,0.86790229400186,"Turbine distance x biotic community + shrub density","0.86 [0.10, 1.61]","5.19 [2.82, 7.55]",NA,"0.20 [-0.34, 0.74]",NA,"2.63 [0.84, 4.42]","1.61 [-1.21, 4.43]","-2.91 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.08 [-3.96, -0.19]",1.53488759132961,2,0.464198138318955,0.209162359358579
"vegetation cover",5,1247.46833798784,3.50951055861401,0.172949561449849,0.062202862886406,-618.42166899392,0.930105156888266,"vegetation cover","0.20 [-0.16, 0.55]",NA,"0.90 [0.52, 1.29]",NA,NA,NA,NA,"-2.90 [-3.24, -2.56]","-0.55 [-0.72, -0.38]","-2.00 [-3.87, -0.12]",NA,NA,NA,NA
"Turbine distance x vegetation cover + shrub density",8,1247.84080142616,3.88197399693217,0.143562184172428,0.0516334287458713,-615.146207164692,0.981738585634138,"Turbine distance x vegetation cover + shrub density","0.41 [-0.07, 0.88]","0.59 [-0.34, 1.52]","1.03 [0.50, 1.55]","0.71 [0.01, 1.41]","0.46 [-0.18, 1.10]",NA,NA,"-2.89 [-3.23, -2.55]","-0.54 [-0.71, -0.37]","-2.02 [-3.90, -0.15]",1.613020794965,2,0.446413155794937,0.2174953326538
"Shrub density",5,1250.54007026921,6.58124283998541,0.0372307063009316,0.0133903578580188,-619.957535134605,0.995128943492157,"Shrub density","1.29 [0.57, 2.01]","4.99 [2.75, 7.24]",NA,NA,NA,NA,NA,"-2.93 [-3.27, -2.59]","-0.48 [-0.64, -0.32]","-2.10 [-3.99, -0.21]",NA,NA,NA,NA
"Turbine distance + shrub density",6,1252.73439504401,8.7755676147824,0.0124282421005454,0.00446992887879311,-619.925092258846,0.99959887237095,"Turbine distance + shrub density","1.30 [0.57, 2.03]","4.98 [2.72, 7.24]",NA,"0.08 [-0.38, 0.54]",NA,NA,NA,"-2.93 [-3.27, -2.59]","-0.48 [-0.64, -0.32]","-2.10 [-3.99, -0.22]",0.0648857515188865,1,0.798934102006413,0.333816984294881
"Null",4,1258.7743075674,14.8154801381706,0.000606539885051542,0.000218147516470793,-625.180968216688,0.999817019887421,"Null","0.26 [-0.08, 0.59]",NA,NA,NA,NA,NA,NA,"-2.96 [-3.30, -2.61]","-0.59 [-0.76, -0.43]","-2.11 [-4.01, -0.21]",NA,NA,NA,NA
"Turbine distance",5,1259.12589565239,15.1670682231618,0.00050876002737134,0.000182980112579471,-624.250447826193,1,"Turbine distance","0.31 [-0.05, 0.67]",NA,NA,"0.38 [-0.08, 0.84]",NA,NA,NA,"-2.97 [-3.32, -2.63]","-0.60 [-0.77, -0.43]","-2.17 [-4.07, -0.26]",1.86104078098833,1,0.172504727267768,0.838790720791771
