"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(shrub_yucca_density)_psi","psi(veg_cover)_psi","psi(as.factor(turbine_interior)1)_psi","psi(as.factor(turbine_interior)1:veg_cover)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(as.factor(turbine_interior)1:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(max_trig_dist)_det","p(livestock.count)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Biotic community + shrub density",6,1243.95882742923,0,1,0.382995380263911,-615.537308451455,0.382995380263911,"Biotic community + shrub density","0.84 [0.10, 1.58]","5.15 [2.81, 7.50]",NA,NA,NA,"1.76 [0.83, 2.70]",NA,"-2.91 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.07 [-3.95, -0.18]",NA,NA,NA,NA
"vegetation cover + shrub density",6,1244.78964565066,0.830818221438903,0.660070183671224,0.25280383099603,-615.952717562174,0.635799211259941,"vegetation cover + shrub density","1.07 [0.35, 1.79]","4.10 [1.81, 6.39]","0.78 [0.36, 1.20]",NA,NA,NA,NA,"-2.90 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.05 [-3.93, -0.17]",NA,NA,NA,NA
"Turbine interior x biotic community + shrub density",8,1246.51307868001,2.55425125078705,0.278837633486713,0.106793525469133,-614.482345791619,0.742592736729074,"Turbine interior x biotic community + shrub density","1.02 [0.19, 1.85]","5.03 [2.48, 7.58]",NA,"-0.88 [-1.98, 0.22]",NA,"1.29 [0.24, 2.33]","2.11 [-0.71, 4.92]","-2.91 [-3.25, -2.57]","-0.45 [-0.62, -0.29]","-2.07 [-3.96, -0.19]",2.10992531967122,2,0.348205429111416,0.278837633486713
"Turbine interior + vegetation cover + shrub density",7,1246.72425398802,2.76542655879007,0.250896875364732,0.0960923441873425,-615.766382313156,0.838685080916416,"Turbine interior + vegetation cover + shrub density","1.17 [0.40, 1.95]","4.11 [1.79, 6.42]","0.79 [0.37, 1.22]","-0.36 [-1.23, 0.50]",NA,NA,NA,"-2.91 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.06 [-3.94, -0.17]",0.372670498035177,1,0.541552204255364,0.380106360764966
"vegetation cover",5,1247.46833798784,3.50951055861401,0.172949561449849,0.0662388830539618,-618.42166899392,0.904923963970378,"vegetation cover","0.20 [-0.16, 0.55]",NA,"0.90 [0.52, 1.29]",NA,NA,NA,NA,"-2.90 [-3.24, -2.56]","-0.55 [-0.72, -0.38]","-2.00 [-3.87, -0.12]",NA,NA,NA,NA
"Turbine interior + vegetation cover",6,1248.481633213,4.52280578377872,0.104204194944439,0.03990972526784,-617.798711343344,0.944833689238218,"Turbine interior + vegetation cover","0.37 [-0.06, 0.79]",NA,"0.95 [0.55, 1.35]","-0.61 [-1.41, 0.19]",NA,NA,NA,"-2.90 [-3.24, -2.56]","-0.55 [-0.72, -0.38]","-2.00 [-3.87, -0.13]",1.24591530115117,1,0.26433406903205,0.602512050744084
"Turbine interior x vegetation cover + shrub density",8,1248.52374599423,4.5649185650002,0.102032970013562,0.0390781561498006,-615.487679448726,0.983911845388019,"Turbine interior x vegetation cover + shrub density","1.16 [0.39, 1.94]","4.14 [1.79, 6.49]","0.65 [0.15, 1.14]","-0.37 [-1.27, 0.53]","0.48 [-0.47, 1.44]",NA,NA,"-2.91 [-3.25, -2.57]","-0.46 [-0.62, -0.30]","-2.07 [-3.95, -0.18]",0.930076226896972,2,0.628111165250887,0.154578971354332
"Shrub density",5,1250.54007026921,6.58124283998541,0.0372307063009316,0.0142591885172193,-619.957535134605,0.998171033905238,"Shrub density","1.29 [0.57, 2.01]","4.99 [2.75, 7.24]",NA,NA,NA,NA,NA,"-2.93 [-3.27, -2.59]","-0.48 [-0.64, -0.32]","-2.10 [-3.99, -0.21]",NA,NA,NA,NA
"Turbine interior + shrub density",6,1255.03571116115,11.076883731926,0.00393264966227096,0.00150618665284621,-621.075750317418,0.999677220558084,"Turbine interior + shrub density","0.49 [0.02, 0.96]","1.46 [0.23, 2.68]",NA,"-0.34 [-1.08, 0.39]",NA,NA,NA,"-2.94 [-3.28, -2.59]","-0.57 [-0.74, -0.40]","-2.12 [-4.03, -0.22]",-2.23643036562476,1,1,0.105629198395641
"Null",4,1258.7743075674,14.8154801381706,0.000606539885051542,0.000232301973920544,-625.180968216688,0.999909522532005,"Null","0.26 [-0.08, 0.59]",NA,NA,NA,NA,NA,NA,"-2.96 [-3.30, -2.61]","-0.59 [-0.76, -0.43]","-2.11 [-4.01, -0.21]",NA,NA,NA,NA
"Turbine interior",5,1260.6601821469,16.7013547176728,0.000236236447376885,9.04774679953054e-05,-625.017591073449,1,"Turbine interior","0.34 [-0.06, 0.75]",NA,NA,"-0.28 [-0.99, 0.43]",NA,NA,NA,"-2.96 [-3.31, -2.61]","-0.60 [-0.77, -0.43]","-2.11 [-4.01, -0.21]",0.326754286477353,1,0.567576561102324,0.389482131676815
