"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(shrub_yucca_density)_psi","psi(veg_cover)_psi","psi(turbine_rd_dist)_psi","psi(veg_cover:turbine_rd_dist)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(turbine_rd_dist:as.factor(biotic_com_2)2)_psi","p(Int)_det","p(max_trig_dist)_det","p(livestock.count)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Biotic community + shrub density",6,1243.95882742923,0,1,0.458503924389106,-615.537308451455,0.458503924389106,"Biotic community + shrub density","0.84 [0.10, 1.58]","5.15 [2.81, 7.50]",NA,NA,NA,"1.76 [0.83, 2.70]",NA,"-2.91 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.07 [-3.95, -0.18]",NA,NA,NA,NA
"vegetation cover + shrub density",6,1244.78964565066,0.830818221438903,0.660070183671224,0.302644769585494,-615.952717562174,0.761148693974601,"vegetation cover + shrub density","1.07 [0.35, 1.79]","4.10 [1.81, 6.39]","0.78 [0.36, 1.20]",NA,NA,NA,NA,"-2.90 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.05 [-3.93, -0.17]",NA,NA,NA,NA
"vegetation cover",5,1247.46833798784,3.50951055861401,0.172949561449849,0.0792980526461309,-618.42166899392,0.840446746620732,"vegetation cover","0.20 [-0.16, 0.55]",NA,"0.90 [0.52, 1.29]",NA,NA,NA,NA,"-2.90 [-3.24, -2.56]","-0.55 [-0.72, -0.38]","-2.00 [-3.87, -0.12]",NA,NA,NA,NA
"Turbine road distance + vegetation cover + shrub density",7,1248.43804666954,4.47921924031311,0.106500071746529,0.0488307008435049,-616.623278653918,0.889277447464237,"Turbine road distance + vegetation cover + shrub density","0.26 [-0.13, 0.66]","0.79 [-0.28, 1.86]","0.81 [0.40, 1.22]","0.16 [-0.25, 0.57]",NA,NA,NA,"-2.89 [-3.23, -2.55]","-0.54 [-0.71, -0.37]","-2.02 [-3.90, -0.14]",-1.34112218348787,1,1,0.161346587652527
"Turbine road distance + vegetation cover",6,1248.63945644361,4.68062901438202,0.0962973472591903,0.0441527116265993,-617.877622958646,0.933430159090836,"Turbine road distance + vegetation cover","0.21 [-0.15, 0.57]",NA,"0.96 [0.56, 1.36]","0.27 [-0.12, 0.66]",NA,NA,NA,"-2.90 [-3.24, -2.56]","-0.55 [-0.72, -0.38]","-2.02 [-3.90, -0.14]",1.08809207054787,1,0.29689433125642,0.55679439977715
"Turbine road distance x vegetation cover + shrub density",8,1249.27672655559,5.317899126361,0.070021736536797,0.0321052409946615,-615.864169729406,0.965535400085498,"Turbine road distance x vegetation cover + shrub density","1.07 [0.36, 1.79]","4.26 [1.91, 6.62]","0.75 [0.33, 1.18]","-0.15 [-0.69, 0.39]","-0.12 [-0.57, 0.34]",NA,NA,"-2.90 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.05 [-3.94, -0.16]",0.177095665536172,2,0.915259330301652,0.106082259536926
"Shrub density",5,1250.54007026921,6.58124283998541,0.0372307063009316,0.0170704249467554,-619.957535134605,0.982605825032253,"Shrub density","1.29 [0.57, 2.01]","4.99 [2.75, 7.24]",NA,NA,NA,NA,NA,"-2.93 [-3.27, -2.59]","-0.48 [-0.64, -0.32]","-2.10 [-3.99, -0.21]",NA,NA,NA,NA
"Turbine road distance x biotic community + shrub density",8,1251.65092898105,7.69210155182873,0.0213639410480514,0.0097954508109491,-617.05127094214,0.992401275843202,"Turbine road distance x biotic community + shrub density","-0.06 [-0.55, 0.43]","1.28 [-0.21, 2.76]",NA,"-0.06 [-0.50, 0.37]",NA,"1.98 [0.47, 3.50]","1.48 [-1.16, 4.12]","-2.89 [-3.23, -2.56]","-0.54 [-0.71, -0.36]","-2.03 [-3.90, -0.15]",-3.02792498137046,2,1,0.0213639410480514
"Turbine road distance + shrub density",6,1252.26113781655,8.30231038732904,0.0157462160453465,0.00721970185107009,-619.688463645119,0.999620977694272,"Turbine road distance + shrub density","1.27 [0.57, 1.96]","5.05 [2.85, 7.25]",NA,"-0.24 [-0.70, 0.22]",NA,NA,NA,"-2.92 [-3.26, -2.58]","-0.48 [-0.64, -0.32]","-2.08 [-3.96, -0.19]",0.538142978972246,1,0.463203356702016,0.422936269811043
"Null",4,1258.7743075674,14.8154801381706,0.000606539885051542,0.000278100917594649,-625.180968216688,0.999899078611867,"Null","0.26 [-0.08, 0.59]",NA,NA,NA,NA,NA,NA,"-2.96 [-3.30, -2.61]","-0.59 [-0.76, -0.43]","-2.11 [-4.01, -0.21]",NA,NA,NA,NA
"Turbine road distance",5,1260.80159193196,16.842764502733,0.00022011019484229,0.000100921388133241,-625.088295965979,1,"Turbine road distance","0.27 [-0.07, 0.61]",NA,NA,"0.11 [-0.27, 0.49]",NA,NA,NA,"-2.96 [-3.31, -2.61]","-0.60 [-0.77, -0.43]","-2.12 [-4.03, -0.22]",0.185344501417148,1,0.66681992906868,0.362894840499378
