"Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","Model","psi(Int)_psi","psi(shrub_yucca_density)_psi","psi(veg_cover)_psi","psi(X150cm_turbine_vis)_psi","psi(veg_cover:X150cm_turbine_vis)_psi","psi(as.factor(biotic_com_2)2)_psi","psi(X150cm_turbine_vis:as.factor(biotic_com_2)2)_psi","psi(canopy_cov)_psi","psi(canopy_cov:X150cm_turbine_vis)_psi","p(Int)_det","p(max_trig_dist)_det","p(livestock.count)_det","LRT_stat","LRT_df","LRT_p","Evidence_Ratio_vs_NonWind"
"Turbine visibility x biotic community + shrub density",8,1242.5374936908,0,1,0.207695957845896,-612.494553297015,0.207695957845896,"Turbine visibility x biotic community + shrub density","-0.04 [-0.49, 0.42]","0.78 [-0.15, 1.71]",NA,"-0.84 [-1.35, -0.34]",NA,"7.62 [0.80, 14.45]","9.49 [0.60, 18.37]",NA,NA,"-2.89 [-3.23, -2.55]","-0.53 [-0.70, -0.36]","-2.07 [-3.95, -0.19]",6.08551030887929,2,0.0477032783737734,2.03534811716489
"Canopy cover + shrub density",6,1242.80675322942,0.269259538619963,0.874039448020743,0.181534460351766,-614.961271351554,0.389230418197662,"Canopy cover + shrub density","1.33 [0.59, 2.08]","5.11 [2.77, 7.45]",NA,NA,NA,NA,NA,"0.86 [0.38, 1.35]",NA,"-2.91 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.05 [-3.92, -0.17]",NA,NA,NA,NA
"Biotic community + shrub density",6,1243.95882742923,1.42133373842103,0.491316444379517,0.102044439520844,-615.537308451455,0.491274857718506,"Biotic community + shrub density","0.84 [0.10, 1.58]","5.15 [2.81, 7.50]",NA,NA,NA,"1.76 [0.83, 2.70]",NA,NA,NA,"-2.91 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.07 [-3.95, -0.18]",NA,NA,NA,NA
"Turbine visibility x canopy cover + shrub density",8,1244.0055437936,1.4680501027965,0.479973180116642,0.0996884893846668,-613.228578348413,0.590963347103173,"Turbine visibility x canopy cover + shrub density","1.41 [0.44, 2.37]","4.21 [1.76, 6.66]",NA,"-0.06 [-1.02, 0.89]",NA,NA,NA,"1.23 [0.11, 2.36]","0.90 [-0.57, 2.37]","-2.90 [-3.24, -2.57]","-0.45 [-0.61, -0.29]","-2.07 [-3.95, -0.19]",3.46538600628173,2,0.176807624777161,0.549143612686519
"Turbine visibility + shrub density",6,1244.18113647296,1.64364278215612,0.439630186335045,0.0913094126488269,-615.648462973322,0.682272759752,"Turbine visibility + shrub density","0.97 [0.22, 1.72]","3.98 [1.65, 6.32]",NA,"-0.88 [-1.37, -0.40]",NA,NA,NA,NA,NA,"-2.92 [-3.26, -2.58]","-0.46 [-0.62, -0.30]","-2.11 [-4.00, -0.22]",8.6181443225662,1,0.00332830747755936,24.0339375990698
"Turbine visibility + vegetation cover + shrub density",7,1244.22781172683,1.69031803602252,0.429489056284677,0.0892031409293759,-614.518161182562,0.771475900681376,"Turbine visibility + vegetation cover + shrub density","0.90 [0.17, 1.64]","3.67 [1.35, 5.99]","0.49 [0.01, 0.97]","-0.60 [-1.14, -0.06]",NA,NA,NA,NA,NA,"-2.91 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.07 [-3.95, -0.18]",2.86911275922375,1,0.0902946352895581,1.32434362841536
"vegetation cover + shrub density",6,1244.78964565066,2.25215195985993,0.32430333568228,0.0673564919371503,-615.952717562174,0.838832392618526,"vegetation cover + shrub density","1.07 [0.35, 1.79]","4.10 [1.81, 6.39]","0.78 [0.36, 1.20]",NA,NA,NA,NA,NA,NA,"-2.90 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.05 [-3.93, -0.17]",NA,NA,NA,NA
"Turbine visibility + vegetation cover",6,1244.82904861561,2.29155492480345,0.31797660680896,0.0660424559237747,-615.972419044646,0.904874848542301,"Turbine visibility + vegetation cover","0.13 [-0.24, 0.49]",NA,"0.54 [0.09, 0.99]","-0.71 [-1.21, -0.21]",NA,NA,NA,NA,NA,"-2.90 [-3.24, -2.56]","-0.53 [-0.70, -0.37]","-2.03 [-3.91, -0.15]",4.89849989854747,1,0.026880035854363,3.74209152394275
"Turbine visibility",5,1245.62591330482,3.08841961402095,0.213480495382178,0.0443390359698179,-617.500456652412,0.949213884512118,"Turbine visibility","0.13 [-0.24, 0.50]",NA,NA,"-1.05 [-1.50, -0.61]",NA,NA,NA,NA,NA,"-2.92 [-3.27, -2.58]","-0.55 [-0.72, -0.38]","-2.12 [-4.01, -0.22]",15.3610231285502,1,8.88013191529993e-05,716.370242149241
"Turbine visibility x vegetation cover + shrub density",8,1246.45607435685,3.91858066604391,0.140958418969412,0.0292764938442951,-614.453843630037,0.978490378356414,"Turbine visibility x vegetation cover + shrub density","0.82 [0.02, 1.63]","3.73 [1.39, 6.07]","0.38 [-0.26, 1.02]","-0.75 [-1.55, 0.05]","-0.20 [-1.00, 0.60]",NA,NA,NA,NA,"-2.91 [-3.24, -2.57]","-0.46 [-0.62, -0.30]","-2.06 [-3.94, -0.18]",2.99774786427429,2,0.223381561371861,0.434649920183087
"vegetation cover",5,1247.46833798784,4.93084429703504,0.0849729635885368,0.0176485410635256,-618.42166899392,0.996138919419939,"vegetation cover","0.20 [-0.16, 0.55]",NA,"0.90 [0.52, 1.29]",NA,NA,NA,NA,NA,NA,"-2.90 [-3.24, -2.56]","-0.55 [-0.72, -0.38]","-2.00 [-3.87, -0.12]",NA,NA,NA,NA
"Shrub density",5,1250.54007026921,8.00257657840643,0.0182920582415118,0.00379918655744371,-619.957535134605,0.999938105977383,"Shrub density","1.29 [0.57, 2.01]","4.99 [2.75, 7.24]",NA,NA,NA,NA,NA,NA,NA,"-2.93 [-3.27, -2.59]","-0.48 [-0.64, -0.32]","-2.10 [-3.99, -0.21]",NA,NA,NA,NA
"Null",4,1258.7743075674,16.2368138765917,0.000298003019697884,6.18940226171214e-05,-625.180968216688,1,"Null","0.26 [-0.08, 0.59]",NA,NA,NA,NA,NA,NA,NA,NA,"-2.96 [-3.30, -2.61]","-0.59 [-0.76, -0.43]","-2.11 [-4.01, -0.21]",NA,NA,NA,NA
